"RegionName","Marker","Species","IUCN","Sequenced"
"East Central Australian Shelf","DiBattista_16S","Abalistes_filamentosus","LC","No"
"East Central Australian Shelf","DiBattista_16S","Abalistes_stellaris","Not evaluated","Yes"
"East Central Australian Shelf","DiBattista_16S","Abalistes_stellatus","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Ablabys_taenianotus","Not evaluated","Yes"
"East Central Australian Shelf","DiBattista_16S","Ablennes_hians","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Abudefduf_bengalensis","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Abudefduf_saxatilis","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Abudefduf_septemfasciatus","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Abudefduf_sexfasciatus","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Abudefduf_sordidus","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Abudefduf_vaigiensis","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Abudefduf_whitleyi","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Acanthaluteres_vittiger","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Acanthaphritis_barbata","Not evaluated","No"
"East Central Australian Shelf","DiBattista_16S","Acanthistius_cinctus","LC","No"
"East Central Australian Shelf","DiBattista_16S","Acanthistius_ocellatus","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Acanthistius_paxtoni","Not evaluated","No"
"East Central Australian Shelf","DiBattista_16S","Acanthistius_serratus","Not evaluated","No"
"East Central Australian Shelf","DiBattista_16S","Acanthocepola_abbreviata","Not evaluated","No"
"East Central Australian Shelf","DiBattista_16S","Acanthochaenus_luetkenii","LC","No"
"East Central Australian Shelf","DiBattista_16S","Acanthochromis_polyacanthus","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Acanthoclinus_littoreus","Not evaluated","No"
"East Central Australian Shelf","DiBattista_16S","Acanthocybium_solandri","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Acanthogobius_flavimanus","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Acanthonus_armatus","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Acanthopagrus_australis","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Acanthopagrus_berda","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Acanthopagrus_butcheri","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Acanthurus_albipectoralis","LC","No"
"East Central Australian Shelf","DiBattista_16S","Acanthurus_auranticavus","LC","No"
"East Central Australian Shelf","DiBattista_16S","Acanthurus_blochii","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Acanthurus_dussumieri","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Acanthurus_grammoptilus","LC","No"
"East Central Australian Shelf","DiBattista_16S","Acanthurus_guttatus","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Acanthurus_lineatus","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Acanthurus_mata","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Acanthurus_nigricans","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Acanthurus_nigricauda","LC","No"
"East Central Australian Shelf","DiBattista_16S","Acanthurus_nigrofuscus","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Acanthurus_nigroris","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Acanthurus_nubilus","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Acanthurus_olivaceus","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Acanthurus_pyroferus","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Acanthurus_thompsoni","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Acanthurus_triostegus","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Acanthurus_xanthopterus","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Acentrogobius_caninus","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Acentrogobius_janthinopterus","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Acentrogobius_nebulosus","Not evaluated","Yes"
"East Central Australian Shelf","DiBattista_16S","Acentrogobius_pflaumii","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Acentrogobius_viridipunctatus","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Achoerodus_gouldii","VU","No"
"East Central Australian Shelf","DiBattista_16S","Achoerodus_viridis","NT","Yes"
"East Central Australian Shelf","DiBattista_16S","Acreichthys_radiatus","LC","No"
"East Central Australian Shelf","DiBattista_16S","Acreichthys_tomentosus","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Adventor_elongatus","Not evaluated","No"
"East Central Australian Shelf","DiBattista_16S","Aeoliscus_strigatus","DD","Yes"
"East Central Australian Shelf","DiBattista_16S","Aesopia_cornuta","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Aethaloperca_rogaa","Not evaluated","Yes"
"East Central Australian Shelf","DiBattista_16S","Ahliesaurus_berryi","LC","No"
"East Central Australian Shelf","DiBattista_16S","Alabes_dorsalis","Not evaluated","No"
"East Central Australian Shelf","DiBattista_16S","Alabes_hoesei","Not evaluated","Yes"
"East Central Australian Shelf","DiBattista_16S","Alabes_parvula","LC","No"
"East Central Australian Shelf","DiBattista_16S","Albula_argentea","DD","No"
"East Central Australian Shelf","DiBattista_16S","Albula_glossodonta","VU","Yes"
"East Central Australian Shelf","DiBattista_16S","Albula_oligolepis","DD","No"
"East Central Australian Shelf","DiBattista_16S","Aldrichetta_forsteri","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Aldrovandia_affinis","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Aldrovandia_phalacra","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Alectis_ciliaris","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Alectis_indica","LC","No"
"East Central Australian Shelf","DiBattista_16S","Alepes_apercna","LC","No"
"East Central Australian Shelf","DiBattista_16S","Alepes_djedaba","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Alepes_vari","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Alepisaurus_brevirostris","LC","No"
"East Central Australian Shelf","DiBattista_16S","Alepisaurus_ferox","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Alepocephalus_antipodianus","Not evaluated","No"
"East Central Australian Shelf","DiBattista_16S","Alepocephalus_australis","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Alepocephalus_longiceps","Not evaluated","Yes"
"East Central Australian Shelf","DiBattista_16S","Alepocephalus_longirostris","Not evaluated","No"
"East Central Australian Shelf","DiBattista_16S","Alepocephalus_productus","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Alepocephalus_triangularis","Not evaluated","No"
"East Central Australian Shelf","DiBattista_16S","Alionematichthys_piger","LC","No"
"East Central Australian Shelf","DiBattista_16S","Allocyttus_niger","Not evaluated","Yes"
"East Central Australian Shelf","DiBattista_16S","Allocyttus_verrucosus","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Allomycterus_pilatus","DD","Yes"
"East Central Australian Shelf","DiBattista_16S","Allothunnus_fallai","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Aluterus_monoceros","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Aluterus_scriptus","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Amanses_scopas","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Ambassis_gymnocephalus","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Ambassis_interrupta","LC","Yes"
"East Central Australian Shelf","DiBattista_16S","Ambassis_jacksoniensis","Not evaluated","No"
"East Central Australian Shelf","DiBattista_16S","Ambassis_vachellii","LC","No"
"East Central Australian Shelf","DiBattista_16S","Ambiserrula_jugosa","Not evaluated","Yes"
"East Central Australian Shelf","DiBattista_16S","Amblycirrhitus_bimacula","LC","Yes"
