"RegionName","Marker","Species","IUCN","Sequenced"
"Northeast Australian Shelf","DiBattista_16S","Abalistes_filamentosus","LC","No"
"Northeast Australian Shelf","DiBattista_16S","Abalistes_stellaris","Not evaluated","Yes"
"Northeast Australian Shelf","DiBattista_16S","Abalistes_stellatus","LC","Yes"
"Northeast Australian Shelf","DiBattista_16S","Ablabys_macracanthus","Not evaluated","No"
"Northeast Australian Shelf","DiBattista_16S","Ablabys_taenianotus","Not evaluated","Yes"
"Northeast Australian Shelf","DiBattista_16S","Ablennes_hians","LC","Yes"
"Northeast Australian Shelf","DiBattista_16S","Abudefduf_bengalensis","LC","Yes"
"Northeast Australian Shelf","DiBattista_16S","Abudefduf_lorenzi","LC","No"
"Northeast Australian Shelf","DiBattista_16S","Abudefduf_notatus","LC","Yes"
"Northeast Australian Shelf","DiBattista_16S","Abudefduf_saxatilis","LC","Yes"
"Northeast Australian Shelf","DiBattista_16S","Abudefduf_septemfasciatus","LC","Yes"
"Northeast Australian Shelf","DiBattista_16S","Abudefduf_sexfasciatus","LC","Yes"
"Northeast Australian Shelf","DiBattista_16S","Abudefduf_sordidus","LC","Yes"
"Northeast Australian Shelf","DiBattista_16S","Abudefduf_vaigiensis","LC","Yes"
"Northeast Australian Shelf","DiBattista_16S","Abudefduf_whitleyi","LC","Yes"
"Northeast Australian Shelf","DiBattista_16S","Acanthaluteres_brownii","LC","Yes"
"Northeast Australian Shelf","DiBattista_16S","Acanthaphritis_barbata","Not evaluated","No"
"Northeast Australian Shelf","DiBattista_16S","Acanthaphritis_grandisquamis","Not evaluated","No"
"Northeast Australian Shelf","DiBattista_16S","Acanthistius_cinctus","LC","No"
"Northeast Australian Shelf","DiBattista_16S","Acanthistius_ocellatus","LC","Yes"
"Northeast Australian Shelf","DiBattista_16S","Acanthocepola_abbreviata","Not evaluated","No"
"Northeast Australian Shelf","DiBattista_16S","Acanthocepola_limbata","Not evaluated","Yes"
"Northeast Australian Shelf","DiBattista_16S","Acanthochromis_polyacanthus","LC","Yes"
"Northeast Australian Shelf","DiBattista_16S","Acanthocybium_solandri","LC","Yes"
"Northeast Australian Shelf","DiBattista_16S","Acanthonus_armatus","LC","Yes"
"Northeast Australian Shelf","DiBattista_16S","Acanthopagrus_australis","LC","Yes"
"Northeast Australian Shelf","DiBattista_16S","Acanthopagrus_berda","LC","Yes"
