"RegionName","Marker","Species","IUCN","Sequenced"
"Northwest Australian Shelf","DiBattista_16S","Abalistes_filamentosus","LC","No"
"Northwest Australian Shelf","DiBattista_16S","Abalistes_stellaris","Not evaluated","Yes"
"Northwest Australian Shelf","DiBattista_16S","Abalistes_stellatus","LC","Yes"
"Northwest Australian Shelf","DiBattista_16S","Ablabys_macracanthus","Not evaluated","No"
"Northwest Australian Shelf","DiBattista_16S","Ablabys_taenianotus","Not evaluated","Yes"
"Northwest Australian Shelf","DiBattista_16S","Ablennes_hians","LC","Yes"
"Northwest Australian Shelf","DiBattista_16S","Abudefduf_bengalensis","LC","Yes"
"Northwest Australian Shelf","DiBattista_16S","Abudefduf_lorenzi","LC","No"
"Northwest Australian Shelf","DiBattista_16S","Abudefduf_notatus","LC","Yes"
"Northwest Australian Shelf","DiBattista_16S","Abudefduf_saxatilis","LC","Yes"
"Northwest Australian Shelf","DiBattista_16S","Abudefduf_septemfasciatus","LC","Yes"
"Northwest Australian Shelf","DiBattista_16S","Abudefduf_sexfasciatus","LC","Yes"
"Northwest Australian Shelf","DiBattista_16S","Abudefduf_sordidus","LC","Yes"
"Northwest Australian Shelf","DiBattista_16S","Abudefduf_vaigiensis","LC","Yes"
"Northwest Australian Shelf","DiBattista_16S","Acanthaluteres_vittiger","LC","Yes"
"Northwest Australian Shelf","DiBattista_16S","Acanthaphritis_barbata","Not evaluated","No"
"Northwest Australian Shelf","DiBattista_16S","Acanthistius_pardalotus","LC","No"
"Northwest Australian Shelf","DiBattista_16S","Acanthocepola_abbreviata","Not evaluated","No"
"Northwest Australian Shelf","DiBattista_16S","Acanthocepola_krusensternii","Not evaluated","Yes"
"Northwest Australian Shelf","DiBattista_16S","Acanthochaenus_luetkenii","LC","No"
"Northwest Australian Shelf","DiBattista_16S","Acanthochromis_polyacanthus","LC","Yes"
"Northwest Australian Shelf","DiBattista_16S","Acanthocybium_solandri","LC","Yes"
"Northwest Australian Shelf","DiBattista_16S","Acanthonus_armatus","LC","Yes"
"Northwest Australian Shelf","DiBattista_16S","Acanthopagrus_australis","LC","Yes"
"Northwest Australian Shelf","DiBattista_16S","Acanthopagrus_berda","LC","Yes"
"Northwest Australian Shelf","DiBattista_16S","Acanthopagrus_latus","DD","Yes"
"Northwest Australian Shelf","DiBattista_16S","Acanthopagrus_palmaris","LC","No"
"Northwest Australian Shelf","DiBattista_16S","Acanthoplesiops_hiatti","Not evaluated","No"
"Northwest Australian Shelf","DiBattista_16S","Acanthosphex_leurynnis","LC","No"
"Northwest Australian Shelf","DiBattista_16S","Acanthostracion_quadricornis","LC","Yes"
"Northwest Australian Shelf","DiBattista_16S","Acanthurus_albipectoralis","LC","No"
"Northwest Australian Shelf","DiBattista_16S","Acanthurus_auranticavus","LC","No"
