"RegionName","Marker","Species","IUCN","Sequenced"
"Sahul Shelf","DiBattista_16S","Abalistes_filamentosus","LC","No"
"Sahul Shelf","DiBattista_16S","Abalistes_stellaris","Not evaluated","Yes"
"Sahul Shelf","DiBattista_16S","Abalistes_stellatus","LC","Yes"
"Sahul Shelf","DiBattista_16S","Ablabys_macracanthus","Not evaluated","No"
"Sahul Shelf","DiBattista_16S","Ablabys_taenianotus","Not evaluated","Yes"
"Sahul Shelf","DiBattista_16S","Ablennes_hians","LC","Yes"
"Sahul Shelf","DiBattista_16S","Abudefduf_bengalensis","LC","Yes"
"Sahul Shelf","DiBattista_16S","Abudefduf_lorenzi","LC","No"
"Sahul Shelf","DiBattista_16S","Abudefduf_notatus","LC","Yes"
"Sahul Shelf","DiBattista_16S","Abudefduf_saxatilis","LC","Yes"
"Sahul Shelf","DiBattista_16S","Abudefduf_septemfasciatus","LC","Yes"
"Sahul Shelf","DiBattista_16S","Abudefduf_sexfasciatus","LC","Yes"
"Sahul Shelf","DiBattista_16S","Abudefduf_sordidus","LC","Yes"
"Sahul Shelf","DiBattista_16S","Abudefduf_vaigiensis","LC","Yes"
"Sahul Shelf","DiBattista_16S","Abudefduf_whitleyi","LC","Yes"
"Sahul Shelf","DiBattista_16S","Acanthaluteres_brownii","LC","Yes"
"Sahul Shelf","DiBattista_16S","Acanthaphritis_barbata","Not evaluated","No"
"Sahul Shelf","DiBattista_16S","Acanthaphritis_grandisquamis","Not evaluated","No"
"Sahul Shelf","DiBattista_16S","Acanthocepola_abbreviata","Not evaluated","No"
"Sahul Shelf","DiBattista_16S","Acanthochromis_polyacanthus","LC","Yes"
"Sahul Shelf","DiBattista_16S","Acanthocybium_solandri","LC","Yes"
"Sahul Shelf","DiBattista_16S","Acanthopagrus_australis","LC","Yes"
"Sahul Shelf","DiBattista_16S","Acanthopagrus_berda","LC","Yes"
"Sahul Shelf","DiBattista_16S","Acanthopagrus_butcheri","LC","Yes"
"Sahul Shelf","DiBattista_16S","Acanthopagrus_latus","DD","Yes"
"Sahul Shelf","DiBattista_16S","Acanthoplesiops_hiatti","Not evaluated","No"
"Sahul Shelf","DiBattista_16S","Acanthosphex_leurynnis","LC","No"
"Sahul Shelf","DiBattista_16S","Acanthostracion_quadricornis","LC","Yes"
"Sahul Shelf","DiBattista_16S","Acanthurus_albipectoralis","LC","No"
"Sahul Shelf","DiBattista_16S","Acanthurus_auranticavus","LC","No"
"Sahul Shelf","DiBattista_16S","Acanthurus_bariene","LC","No"
"Sahul Shelf","DiBattista_16S","Acanthurus_blochii","LC","Yes"
"Sahul Shelf","DiBattista_16S","Acanthurus_dussumieri","LC","Yes"
"Sahul Shelf","DiBattista_16S","Acanthurus_fowleri","LC","No"
"Sahul Shelf","DiBattista_16S","Acanthurus_gahhm","LC","Yes"
"Sahul Shelf","DiBattista_16S","Acanthurus_grammoptilus","LC","No"
"Sahul Shelf","DiBattista_16S","Acanthurus_guttatus","LC","Yes"
"Sahul Shelf","DiBattista_16S","Acanthurus_leucocheilus","LC","No"
"Sahul Shelf","DiBattista_16S","Acanthurus_lineatus","LC","Yes"
"Sahul Shelf","DiBattista_16S","Acanthurus_maculiceps","LC","No"
"Sahul Shelf","DiBattista_16S","Acanthurus_mata","LC","Yes"
"Sahul Shelf","DiBattista_16S","Acanthurus_nigricans","LC","Yes"
"Sahul Shelf","DiBattista_16S","Acanthurus_nigricauda","LC","No"
"Sahul Shelf","DiBattista_16S","Acanthurus_nigrofuscus","LC","Yes"
"Sahul Shelf","DiBattista_16S","Acanthurus_nigroris","LC","Yes"
"Sahul Shelf","DiBattista_16S","Acanthurus_nubilus","LC","Yes"
"Sahul Shelf","DiBattista_16S","Acanthurus_olivaceus","LC","Yes"
"Sahul Shelf","DiBattista_16S","Acanthurus_pyroferus","LC","Yes"
"Sahul Shelf","DiBattista_16S","Acanthurus_thompsoni","LC","Yes"
"Sahul Shelf","DiBattista_16S","Acanthurus_triostegus","LC","Yes"
"Sahul Shelf","DiBattista_16S","Acanthurus_xanthopterus","LC","Yes"
"Sahul Shelf","DiBattista_16S","Acentrogobius_caninus","LC","Yes"
"Sahul Shelf","DiBattista_16S","Acentrogobius_janthinopterus","LC","Yes"
"Sahul Shelf","DiBattista_16S","Acentrogobius_nebulosus","Not evaluated","Yes"
"Sahul Shelf","DiBattista_16S","Acentrogobius_suluensis","Not evaluated","No"
"Sahul Shelf","DiBattista_16S","Acentrogobius_viridipunctatus","LC","Yes"
"Sahul Shelf","DiBattista_16S","Acentronura_tentaculata","LC","Yes"
"Sahul Shelf","DiBattista_16S","Acreichthys_hajam","DD","No"
"Sahul Shelf","DiBattista_16S","Acreichthys_radiatus","LC","No"
"Sahul Shelf","DiBattista_16S","Acreichthys_tomentosus","LC","Yes"
"Sahul Shelf","DiBattista_16S","Acropoma_japonicum","Not evaluated","Yes"
"Sahul Shelf","DiBattista_16S","Adventor_elongatus","Not evaluated","No"
"Sahul Shelf","DiBattista_16S","Aeoliscus_strigatus","DD","Yes"
"Sahul Shelf","DiBattista_16S","Aesopia_cornuta","LC","Yes"
"Sahul Shelf","DiBattista_16S","Aethaloperca_rogaa","Not evaluated","Yes"
"Sahul Shelf","DiBattista_16S","Ahliesaurus_brevis","LC","No"
"Sahul Shelf","DiBattista_16S","Aioliops_megastigma","LC","No"
"Sahul Shelf","DiBattista_16S","Aioliops_novaeguineae","Not evaluated","Yes"
"Sahul Shelf","DiBattista_16S","Aioliops_tetrophthalmus","Not evaluated","No"
"Sahul Shelf","DiBattista_16S","Albula_argentea","DD","No"
"Sahul Shelf","DiBattista_16S","Albula_glossodonta","VU","Yes"
"Sahul Shelf","DiBattista_16S","Albula_oligolepis","DD","No"
"Sahul Shelf","DiBattista_16S","Albula_vulpes","NT","Yes"
"Sahul Shelf","DiBattista_16S","Aldrovandia_affinis","LC","Yes"
"Sahul Shelf","DiBattista_16S","Aldrovandia_phalacra","LC","Yes"
"Sahul Shelf","DiBattista_16S","Alectis_ciliaris","LC","Yes"
"Sahul Shelf","DiBattista_16S","Alectis_indica","LC","No"
"Sahul Shelf","DiBattista_16S","Alepes_apercna","LC","No"
"Sahul Shelf","DiBattista_16S","Alepes_djedaba","LC","Yes"
"Sahul Shelf","DiBattista_16S","Alepes_kleinii","LC","Yes"
"Sahul Shelf","DiBattista_16S","Alepes_melanoptera","LC","No"
"Sahul Shelf","DiBattista_16S","Alepes_vari","LC","Yes"
"Sahul Shelf","DiBattista_16S","Alepisaurus_ferox","LC","Yes"
"Sahul Shelf","DiBattista_16S","Allenbatrachus_grunniens","Not evaluated","No"
"Sahul Shelf","DiBattista_16S","Allomogurnda_nesolepis","LC","No"
"Sahul Shelf","DiBattista_16S","Alticus_saliens","DD","Yes"
"Sahul Shelf","DiBattista_16S","Aluterus_monoceros","LC","Yes"
"Sahul Shelf","DiBattista_16S","Aluterus_scriptus","LC","Yes"
"Sahul Shelf","DiBattista_16S","Amanses_scopas","LC","Yes"
"Sahul Shelf","DiBattista_16S","Amarsipus_carlsbergi","Not evaluated","Yes"
"Sahul Shelf","DiBattista_16S","Ambassis_agrammus","LC","Yes"
"Sahul Shelf","DiBattista_16S","Ambassis_ambassis","LC","Yes"
