"RegionName","Marker","Species","IUCN","Sequenced"
"Southeast Australian Shelf","DiBattista_16S","Abalistes_stellatus","LC","Yes"
"Southeast Australian Shelf","DiBattista_16S","Ablennes_hians","LC","Yes"
"Southeast Australian Shelf","DiBattista_16S","Abudefduf_bengalensis","LC","Yes"
"Southeast Australian Shelf","DiBattista_16S","Abudefduf_sexfasciatus","LC","Yes"
"Southeast Australian Shelf","DiBattista_16S","Abudefduf_sordidus","LC","Yes"
"Southeast Australian Shelf","DiBattista_16S","Abudefduf_vaigiensis","LC","Yes"
"Southeast Australian Shelf","DiBattista_16S","Acanthaluteres_brownii","LC","Yes"
"Southeast Australian Shelf","DiBattista_16S","Acanthaluteres_vittiger","LC","Yes"
"Southeast Australian Shelf","DiBattista_16S","Acanthistius_ocellatus","LC","Yes"
"Southeast Australian Shelf","DiBattista_16S","Acanthistius_serratus","Not evaluated","No"
"Southeast Australian Shelf","DiBattista_16S","Acanthoclinus_littoreus","Not evaluated","No"
"Southeast Australian Shelf","DiBattista_16S","Acanthocybium_solandri","LC","Yes"
"Southeast Australian Shelf","DiBattista_16S","Acanthogobius_flavimanus","LC","Yes"
"Southeast Australian Shelf","DiBattista_16S","Acanthopagrus_australis","LC","Yes"
"Southeast Australian Shelf","DiBattista_16S","Acanthopagrus_berda","LC","Yes"
"Southeast Australian Shelf","DiBattista_16S","Acanthopagrus_butcheri","LC","Yes"
"Southeast Australian Shelf","DiBattista_16S","Acanthurus_dussumieri","LC","Yes"
"Southeast Australian Shelf","DiBattista_16S","Acanthurus_lineatus","LC","Yes"
"Southeast Australian Shelf","DiBattista_16S","Acanthurus_xanthopterus","LC","Yes"
"Southeast Australian Shelf","DiBattista_16S","Acentrogobius_pflaumii","LC","Yes"
"Southeast Australian Shelf","DiBattista_16S","Achiropsetta_tricholepis","DD","No"
"Southeast Australian Shelf","DiBattista_16S","Achoerodus_gouldii","VU","No"
"Southeast Australian Shelf","DiBattista_16S","Achoerodus_viridis","NT","Yes"
"Southeast Australian Shelf","DiBattista_16S","Acreichthys_tomentosus","LC","Yes"
"Southeast Australian Shelf","DiBattista_16S","Aeoliscus_strigatus","DD","Yes"
"Southeast Australian Shelf","DiBattista_16S","Aetapcus_maculatus","Not evaluated","Yes"
"Southeast Australian Shelf","DiBattista_16S","Agrostichthys_parkeri","LC","No"
"Southeast Australian Shelf","DiBattista_16S","Alabes_dorsalis","Not evaluated","No"
"Southeast Australian Shelf","DiBattista_16S","Alabes_hoesei","Not evaluated","Yes"
"Southeast Australian Shelf","DiBattista_16S","Alabes_parvula","LC","No"
"Southeast Australian Shelf","DiBattista_16S","Albula_oligolepis","DD","No"
"Southeast Australian Shelf","DiBattista_16S","Aldrichetta_forsteri","LC","Yes"
"Southeast Australian Shelf","DiBattista_16S","Aldrovandia_affinis","LC","Yes"
"Southeast Australian Shelf","DiBattista_16S","Alectis_ciliaris","LC","Yes"
"Southeast Australian Shelf","DiBattista_16S","Alectis_indica","LC","No"
"Southeast Australian Shelf","DiBattista_16S","Alepisaurus_brevirostris","LC","No"
"Southeast Australian Shelf","DiBattista_16S","Alepisaurus_ferox","LC","Yes"
"Southeast Australian Shelf","DiBattista_16S","Alepocephalus_antipodianus","Not evaluated","No"
"Southeast Australian Shelf","DiBattista_16S","Alepocephalus_australis","LC","Yes"
