"RegionName","Marker","Species","IUCN","Sequenced"
"Southwest Australian Shelf","DiBattista_16S","Abalistes_stellatus","LC","Yes"
"Southwest Australian Shelf","DiBattista_16S","Ablabys_taenianotus","Not evaluated","Yes"
"Southwest Australian Shelf","DiBattista_16S","Ablennes_hians","LC","Yes"
"Southwest Australian Shelf","DiBattista_16S","Abudefduf_bengalensis","LC","Yes"
"Southwest Australian Shelf","DiBattista_16S","Abudefduf_sexfasciatus","LC","Yes"
"Southwest Australian Shelf","DiBattista_16S","Abudefduf_sordidus","LC","Yes"
"Southwest Australian Shelf","DiBattista_16S","Abudefduf_vaigiensis","LC","Yes"
"Southwest Australian Shelf","DiBattista_16S","Acanthaluteres_brownii","LC","Yes"
"Southwest Australian Shelf","DiBattista_16S","Acanthaluteres_spilomelanurus","LC","Yes"
"Southwest Australian Shelf","DiBattista_16S","Acanthaluteres_vittiger","LC","Yes"
"Southwest Australian Shelf","DiBattista_16S","Acanthistius_cinctus","LC","No"
"Southwest Australian Shelf","DiBattista_16S","Acanthistius_serratus","Not evaluated","No"
"Southwest Australian Shelf","DiBattista_16S","Acanthoclinus_littoreus","Not evaluated","No"
"Southwest Australian Shelf","DiBattista_16S","Acanthocybium_solandri","LC","Yes"
"Southwest Australian Shelf","DiBattista_16S","Acanthopagrus_australis","LC","Yes"
"Southwest Australian Shelf","DiBattista_16S","Acanthopagrus_berda","LC","Yes"
"Southwest Australian Shelf","DiBattista_16S","Acanthopagrus_butcheri","LC","Yes"
"Southwest Australian Shelf","DiBattista_16S","Acanthosphex_leurynnis","LC","No"
"Southwest Australian Shelf","DiBattista_16S","Acanthurus_blochii","LC","Yes"
"Southwest Australian Shelf","DiBattista_16S","Acanthurus_dussumieri","LC","Yes"
"Southwest Australian Shelf","DiBattista_16S","Acanthurus_lineatus","LC","Yes"
"Southwest Australian Shelf","DiBattista_16S","Acanthurus_mata","LC","Yes"
"Southwest Australian Shelf","DiBattista_16S","Acanthurus_nigrofuscus","LC","Yes"
"Southwest Australian Shelf","DiBattista_16S","Acanthurus_olivaceus","LC","Yes"
"Southwest Australian Shelf","DiBattista_16S","Acanthurus_triostegus","LC","Yes"
"Southwest Australian Shelf","DiBattista_16S","Acanthurus_xanthopterus","LC","Yes"
"Southwest Australian Shelf","DiBattista_16S","Achoerodus_gouldii","VU","No"
"Southwest Australian Shelf","DiBattista_16S","Achoerodus_viridis","NT","Yes"
"Southwest Australian Shelf","DiBattista_16S","Acreichthys_tomentosus","LC","Yes"
"Southwest Australian Shelf","DiBattista_16S","Aeoliscus_strigatus","DD","Yes"
"Southwest Australian Shelf","DiBattista_16S","Aesopia_cornuta","LC","Yes"
"Southwest Australian Shelf","DiBattista_16S","Aetapcus_maculatus","Not evaluated","Yes"
"Southwest Australian Shelf","DiBattista_16S","Afurcagobius_tamarensis","Not evaluated","No"
"Southwest Australian Shelf","DiBattista_16S","Agrostichthys_parkeri","LC","No"
"Southwest Australian Shelf","DiBattista_16S","Alabes_dorsalis","Not evaluated","No"
"Southwest Australian Shelf","DiBattista_16S","Alabes_hoesei","Not evaluated","Yes"
"Southwest Australian Shelf","DiBattista_16S","Alabes_parvula","LC","No"
"Southwest Australian Shelf","DiBattista_16S","Albula_oligolepis","DD","No"
"Southwest Australian Shelf","DiBattista_16S","Aldrichetta_forsteri","LC","Yes"
"Southwest Australian Shelf","DiBattista_16S","Aldrovandia_affinis","LC","Yes"
"Southwest Australian Shelf","DiBattista_16S","Aldrovandia_phalacra","LC","Yes"
"Southwest Australian Shelf","DiBattista_16S","Alectis_ciliaris","LC","Yes"
"Southwest Australian Shelf","DiBattista_16S","Alectis_indica","LC","No"
"Southwest Australian Shelf","DiBattista_16S","Alepes_djedaba","LC","Yes"
"Southwest Australian Shelf","DiBattista_16S","Alepisaurus_brevirostris","LC","No"
"Southwest Australian Shelf","DiBattista_16S","Alepisaurus_ferox","LC","Yes"
"Southwest Australian Shelf","DiBattista_16S","Alepocephalus_antipodianus","Not evaluated","No"
"Southwest Australian Shelf","DiBattista_16S","Alepocephalus_australis","LC","Yes"
"Southwest Australian Shelf","DiBattista_16S","Alepocephalus_triangularis","Not evaluated","No"
"Southwest Australian Shelf","DiBattista_16S","Allenichthys_glauerti","Not evaluated","No"
"Southwest Australian Shelf","DiBattista_16S","Allocyttus_niger","Not evaluated","Yes"
"Southwest Australian Shelf","DiBattista_16S","Allocyttus_verrucosus","LC","Yes"
"Southwest Australian Shelf","DiBattista_16S","Allomycterus_pilatus","DD","Yes"
"Southwest Australian Shelf","DiBattista_16S","Allothunnus_fallai","LC","Yes"
"Southwest Australian Shelf","DiBattista_16S","Aluterus_monoceros","LC","Yes"
"Southwest Australian Shelf","DiBattista_16S","Aluterus_scriptus","LC","Yes"
"Southwest Australian Shelf","DiBattista_16S","Ambassis_gymnocephalus","LC","Yes"
"Southwest Australian Shelf","DiBattista_16S","Amblygobius_phalaena","LC","Yes"
"Southwest Australian Shelf","DiBattista_16S","Ammotretis_brevipinnis","DD","No"
"Southwest Australian Shelf","DiBattista_16S","Ammotretis_elongatus","DD","No"
"Southwest Australian Shelf","DiBattista_16S","Ammotretis_lituratus","DD","No"
"Southwest Australian Shelf","DiBattista_16S","Ammotretis_macrolepis","DD","No"
"Southwest Australian Shelf","DiBattista_16S","Ammotretis_rostratus","DD","Yes"
"Southwest Australian Shelf","DiBattista_16S","Amniataba_caudavittata","Not evaluated","No"
"Southwest Australian Shelf","DiBattista_16S","Amphiprion_clarkii","LC","Yes"
"Southwest Australian Shelf","DiBattista_16S","Anampses_caeruleopunctatus","LC","Yes"
"Southwest Australian Shelf","DiBattista_16S","Anampses_geographicus","LC","Yes"
