"RegionName","Marker","Species","IUCN","Sequenced"
"West Central Australian Shelf","DiBattista_16S","Abalistes_filamentosus","LC","No"
"West Central Australian Shelf","DiBattista_16S","Abalistes_stellaris","Not evaluated","Yes"
"West Central Australian Shelf","DiBattista_16S","Abalistes_stellatus","LC","Yes"
"West Central Australian Shelf","DiBattista_16S","Ablabys_taenianotus","Not evaluated","Yes"
"West Central Australian Shelf","DiBattista_16S","Ablennes_hians","LC","Yes"
"West Central Australian Shelf","DiBattista_16S","Abudefduf_bengalensis","LC","Yes"
"West Central Australian Shelf","DiBattista_16S","Abudefduf_saxatilis","LC","Yes"
"West Central Australian Shelf","DiBattista_16S","Abudefduf_septemfasciatus","LC","Yes"
"West Central Australian Shelf","DiBattista_16S","Abudefduf_sexfasciatus","LC","Yes"
"West Central Australian Shelf","DiBattista_16S","Abudefduf_sordidus","LC","Yes"
"West Central Australian Shelf","DiBattista_16S","Abudefduf_vaigiensis","LC","Yes"
"West Central Australian Shelf","DiBattista_16S","Acanthaluteres_brownii","LC","Yes"
"West Central Australian Shelf","DiBattista_16S","Acanthaluteres_spilomelanurus","LC","Yes"
"West Central Australian Shelf","DiBattista_16S","Acanthaluteres_vittiger","LC","Yes"
"West Central Australian Shelf","DiBattista_16S","Acanthistius_cinctus","LC","No"
"West Central Australian Shelf","DiBattista_16S","Acanthistius_pardalotus","LC","No"
"West Central Australian Shelf","DiBattista_16S","Acanthistius_serratus","Not evaluated","No"
"West Central Australian Shelf","DiBattista_16S","Acanthocepola_abbreviata","Not evaluated","No"
"West Central Australian Shelf","DiBattista_16S","Acanthocepola_krusensternii","Not evaluated","Yes"
"West Central Australian Shelf","DiBattista_16S","Acanthochaenus_luetkenii","LC","No"
"West Central Australian Shelf","DiBattista_16S","Acanthochromis_polyacanthus","LC","Yes"
"West Central Australian Shelf","DiBattista_16S","Acanthoclinus_littoreus","Not evaluated","No"
"West Central Australian Shelf","DiBattista_16S","Acanthocybium_solandri","LC","Yes"
"West Central Australian Shelf","DiBattista_16S","Acanthonus_armatus","LC","Yes"
"West Central Australian Shelf","DiBattista_16S","Acanthopagrus_australis","LC","Yes"
"West Central Australian Shelf","DiBattista_16S","Acanthopagrus_berda","LC","Yes"
"West Central Australian Shelf","DiBattista_16S","Acanthopagrus_butcheri","LC","Yes"
"West Central Australian Shelf","DiBattista_16S","Acanthopagrus_latus","DD","Yes"
"West Central Australian Shelf","DiBattista_16S","Acanthopagrus_palmaris","LC","No"
"West Central Australian Shelf","DiBattista_16S","Acanthosphex_leurynnis","LC","No"
"West Central Australian Shelf","DiBattista_16S","Acanthurus_auranticavus","LC","No"
"West Central Australian Shelf","DiBattista_16S","Acanthurus_blochii","LC","Yes"
"West Central Australian Shelf","DiBattista_16S","Acanthurus_dussumieri","LC","Yes"
"West Central Australian Shelf","DiBattista_16S","Acanthurus_grammoptilus","LC","No"
"West Central Australian Shelf","DiBattista_16S","Acanthurus_guttatus","LC","Yes"
