"RegionName","Marker","Species","IUCN","Sequenced"
"East Central Australian Shelf","Miya_12S","Abalistes_filamentosus","LC","No"
"East Central Australian Shelf","Miya_12S","Abalistes_stellaris","Not evaluated","Yes"
"East Central Australian Shelf","Miya_12S","Abalistes_stellatus","LC","Yes"
"East Central Australian Shelf","Miya_12S","Ablabys_taenianotus","Not evaluated","Yes"
"East Central Australian Shelf","Miya_12S","Ablennes_hians","LC","Yes"
"East Central Australian Shelf","Miya_12S","Abudefduf_bengalensis","LC","Yes"
"East Central Australian Shelf","Miya_12S","Abudefduf_saxatilis","LC","Yes"
"East Central Australian Shelf","Miya_12S","Abudefduf_septemfasciatus","LC","Yes"
"East Central Australian Shelf","Miya_12S","Abudefduf_sexfasciatus","LC","Yes"
"East Central Australian Shelf","Miya_12S","Abudefduf_sordidus","LC","Yes"
"East Central Australian Shelf","Miya_12S","Abudefduf_vaigiensis","LC","Yes"
"East Central Australian Shelf","Miya_12S","Abudefduf_whitleyi","LC","Yes"
"East Central Australian Shelf","Miya_12S","Acanthaluteres_vittiger","LC","No"
"East Central Australian Shelf","Miya_12S","Acanthaphritis_barbata","Not evaluated","No"
"East Central Australian Shelf","Miya_12S","Acanthistius_cinctus","LC","No"
"East Central Australian Shelf","Miya_12S","Acanthistius_ocellatus","LC","No"
"East Central Australian Shelf","Miya_12S","Acanthistius_paxtoni","Not evaluated","No"
"East Central Australian Shelf","Miya_12S","Acanthistius_serratus","Not evaluated","No"
"East Central Australian Shelf","Miya_12S","Acanthocepola_abbreviata","Not evaluated","No"
"East Central Australian Shelf","Miya_12S","Acanthochaenus_luetkenii","LC","No"
"East Central Australian Shelf","Miya_12S","Acanthochromis_polyacanthus","LC","Yes"
"East Central Australian Shelf","Miya_12S","Acanthoclinus_littoreus","Not evaluated","No"
"East Central Australian Shelf","Miya_12S","Acanthocybium_solandri","LC","Yes"
"East Central Australian Shelf","Miya_12S","Acanthogobius_flavimanus","LC","Yes"
"East Central Australian Shelf","Miya_12S","Acanthonus_armatus","LC","No"
"East Central Australian Shelf","Miya_12S","Acanthopagrus_australis","LC","No"
"East Central Australian Shelf","Miya_12S","Acanthopagrus_berda","LC","No"
"East Central Australian Shelf","Miya_12S","Acanthopagrus_butcheri","LC","No"
"East Central Australian Shelf","Miya_12S","Acanthurus_albipectoralis","LC","No"
"East Central Australian Shelf","Miya_12S","Acanthurus_auranticavus","LC","No"
"East Central Australian Shelf","Miya_12S","Acanthurus_blochii","LC","Yes"
"East Central Australian Shelf","Miya_12S","Acanthurus_dussumieri","LC","Yes"
"East Central Australian Shelf","Miya_12S","Acanthurus_grammoptilus","LC","No"
"East Central Australian Shelf","Miya_12S","Acanthurus_guttatus","LC","Yes"
"East Central Australian Shelf","Miya_12S","Acanthurus_lineatus","LC","Yes"
"East Central Australian Shelf","Miya_12S","Acanthurus_mata","LC","Yes"
"East Central Australian Shelf","Miya_12S","Acanthurus_nigricans","LC","Yes"
"East Central Australian Shelf","Miya_12S","Acanthurus_nigricauda","LC","No"
"East Central Australian Shelf","Miya_12S","Acanthurus_nigrofuscus","LC","Yes"
"East Central Australian Shelf","Miya_12S","Acanthurus_nigroris","LC","Yes"
"East Central Australian Shelf","Miya_12S","Acanthurus_nubilus","LC","No"
"East Central Australian Shelf","Miya_12S","Acanthurus_olivaceus","LC","Yes"
"East Central Australian Shelf","Miya_12S","Acanthurus_pyroferus","LC","No"
"East Central Australian Shelf","Miya_12S","Acanthurus_thompsoni","LC","Yes"
"East Central Australian Shelf","Miya_12S","Acanthurus_triostegus","LC","Yes"
"East Central Australian Shelf","Miya_12S","Acanthurus_xanthopterus","LC","Yes"
"East Central Australian Shelf","Miya_12S","Acentrogobius_caninus","LC","Yes"
"East Central Australian Shelf","Miya_12S","Acentrogobius_janthinopterus","LC","No"
"East Central Australian Shelf","Miya_12S","Acentrogobius_nebulosus","Not evaluated","No"
"East Central Australian Shelf","Miya_12S","Acentrogobius_pflaumii","LC","Yes"
"East Central Australian Shelf","Miya_12S","Acentrogobius_viridipunctatus","LC","Yes"
"East Central Australian Shelf","Miya_12S","Achoerodus_gouldii","VU","No"
"East Central Australian Shelf","Miya_12S","Achoerodus_viridis","NT","Yes"
"East Central Australian Shelf","Miya_12S","Acreichthys_radiatus","LC","No"
"East Central Australian Shelf","Miya_12S","Acreichthys_tomentosus","LC","Yes"
"East Central Australian Shelf","Miya_12S","Adventor_elongatus","Not evaluated","No"
"East Central Australian Shelf","Miya_12S","Aeoliscus_strigatus","DD","Yes"
"East Central Australian Shelf","Miya_12S","Aesopia_cornuta","LC","No"
"East Central Australian Shelf","Miya_12S","Aethaloperca_rogaa","Not evaluated","Yes"
"East Central Australian Shelf","Miya_12S","Ahliesaurus_berryi","LC","No"
"East Central Australian Shelf","Miya_12S","Alabes_dorsalis","Not evaluated","No"
"East Central Australian Shelf","Miya_12S","Alabes_hoesei","Not evaluated","No"
"East Central Australian Shelf","Miya_12S","Alabes_parvula","LC","No"
"East Central Australian Shelf","Miya_12S","Albula_argentea","DD","No"
"East Central Australian Shelf","Miya_12S","Albula_glossodonta","VU","Yes"
"East Central Australian Shelf","Miya_12S","Albula_oligolepis","DD","No"
"East Central Australian Shelf","Miya_12S","Aldrichetta_forsteri","LC","Yes"
"East Central Australian Shelf","Miya_12S","Aldrovandia_affinis","LC","Yes"
"East Central Australian Shelf","Miya_12S","Aldrovandia_phalacra","LC","Yes"
"East Central Australian Shelf","Miya_12S","Alectis_ciliaris","LC","Yes"
"East Central Australian Shelf","Miya_12S","Alectis_indica","LC","No"
"East Central Australian Shelf","Miya_12S","Alepes_apercna","LC","No"
"East Central Australian Shelf","Miya_12S","Alepes_djedaba","LC","Yes"
"East Central Australian Shelf","Miya_12S","Alepes_vari","LC","No"
"East Central Australian Shelf","Miya_12S","Alepisaurus_brevirostris","LC","No"
"East Central Australian Shelf","Miya_12S","Alepisaurus_ferox","LC","Yes"
"East Central Australian Shelf","Miya_12S","Alepocephalus_antipodianus","Not evaluated","No"
"East Central Australian Shelf","Miya_12S","Alepocephalus_australis","LC","Yes"
"East Central Australian Shelf","Miya_12S","Alepocephalus_longiceps","Not evaluated","Yes"
"East Central Australian Shelf","Miya_12S","Alepocephalus_longirostris","Not evaluated","No"
"East Central Australian Shelf","Miya_12S","Alepocephalus_productus","LC","Yes"
"East Central Australian Shelf","Miya_12S","Alepocephalus_triangularis","Not evaluated","No"
"East Central Australian Shelf","Miya_12S","Alionematichthys_piger","LC","No"
"East Central Australian Shelf","Miya_12S","Allocyttus_niger","Not evaluated","Yes"
"East Central Australian Shelf","Miya_12S","Allocyttus_verrucosus","LC","No"
"East Central Australian Shelf","Miya_12S","Allomycterus_pilatus","DD","Yes"
"East Central Australian Shelf","Miya_12S","Allothunnus_fallai","LC","No"
"East Central Australian Shelf","Miya_12S","Aluterus_monoceros","LC","Yes"
"East Central Australian Shelf","Miya_12S","Aluterus_scriptus","LC","Yes"
"East Central Australian Shelf","Miya_12S","Amanses_scopas","LC","Yes"
"East Central Australian Shelf","Miya_12S","Ambassis_gymnocephalus","LC","Yes"
"East Central Australian Shelf","Miya_12S","Ambassis_interrupta","LC","Yes"
"East Central Australian Shelf","Miya_12S","Ambassis_jacksoniensis","Not evaluated","No"
"East Central Australian Shelf","Miya_12S","Ambassis_vachellii","LC","No"
"East Central Australian Shelf","Miya_12S","Ambiserrula_jugosa","Not evaluated","No"
"East Central Australian Shelf","Miya_12S","Amblycirrhitus_bimacula","LC","No"
"East Central Australian Shelf","Miya_12S","Amblyeleotris_diagonalis","LC","No"
"East Central Australian Shelf","Miya_12S","Amblyeleotris_fasciata","LC","No"
"East Central Australian Shelf","Miya_12S","Amblyeleotris_guttata","LC","Yes"
"East Central Australian Shelf","Miya_12S","Amblyeleotris_ogasawarensis","LC","No"
"East Central Australian Shelf","Miya_12S","Amblyeleotris_periophthalma","LC","No"
"East Central Australian Shelf","Miya_12S","Amblyeleotris_rubrimarginata","LC","No"
"East Central Australian Shelf","Miya_12S","Amblyeleotris_steinitzi","LC","No"
"East Central Australian Shelf","Miya_12S","Amblyeleotris_wheeleri","LC","Yes"
"East Central Australian Shelf","Miya_12S","Amblygaster_sirm","LC","Yes"
"East Central Australian Shelf","Miya_12S","Amblyglyphidodon_aureus","LC","Yes"
"East Central Australian Shelf","Miya_12S","Amblyglyphidodon_curacao","LC","Yes"
"East Central Australian Shelf","Miya_12S","Amblyglyphidodon_leucogaster","LC","Yes"
"East Central Australian Shelf","Miya_12S","Amblygobius_albimaculatus","LC","No"
"East Central Australian Shelf","Miya_12S","Amblygobius_bynoensis","LC","No"
"East Central Australian Shelf","Miya_12S","Amblygobius_decussatus","LC","No"
"East Central Australian Shelf","Miya_12S","Amblygobius_nocturnus","LC","No"
"East Central Australian Shelf","Miya_12S","Amblygobius_phalaena","LC","Yes"
"East Central Australian Shelf","Miya_12S","Amblygobius_tekomaji","LC","No"
"East Central Australian Shelf","Miya_12S","Amblypomacentrus_breviceps","LC","Yes"
"East Central Australian Shelf","Miya_12S","Ammodytoides_vagus","Not evaluated","No"
"East Central Australian Shelf","Miya_12S","Ammotretis_rostratus","DD","No"
"East Central Australian Shelf","Miya_12S","Amoya_gracilis","Not evaluated","No"
"East Central Australian Shelf","Miya_12S","Amoya_signata","Not evaluated","No"
"East Central Australian Shelf","Miya_12S","Amphichaetodon_howensis","LC","No"
"East Central Australian Shelf","Miya_12S","Amphichaetodon_melbae","DD","Yes"
"East Central Australian Shelf","Miya_12S","Amphiprion_akindynos","LC","Yes"
"East Central Australian Shelf","Miya_12S","Amphiprion_chrysopterus","LC","Yes"
"East Central Australian Shelf","Miya_12S","Amphiprion_clarkii","LC","Yes"
"East Central Australian Shelf","Miya_12S","Amphiprion_latezonatus","DD","No"
"East Central Australian Shelf","Miya_12S","Amphiprion_mccullochi","VU","No"
"East Central Australian Shelf","Miya_12S","Amphiprion_melanopus","LC","Yes"
"East Central Australian Shelf","Miya_12S","Amphiprion_percula","LC","Yes"
"East Central Australian Shelf","Miya_12S","Amphiprion_perideraion","LC","Yes"
"East Central Australian Shelf","Miya_12S","Anacanthus_barbatus","LC","No"
"East Central Australian Shelf","Miya_12S","Anampses_caeruleopunctatus","LC","Yes"
"East Central Australian Shelf","Miya_12S","Anampses_elegans","LC","No"
"East Central Australian Shelf","Miya_12S","Anampses_femininus","LC","No"
"East Central Australian Shelf","Miya_12S","Anampses_geographicus","LC","Yes"
"East Central Australian Shelf","Miya_12S","Anampses_meleagrides","LC","Yes"
"East Central Australian Shelf","Miya_12S","Anampses_neoguinaicus","LC","Yes"
"East Central Australian Shelf","Miya_12S","Anampses_twistii","LC","No"
"East Central Australian Shelf","Miya_12S","Anarchias_allardicei","LC","No"
"East Central Australian Shelf","Miya_12S","Anarchias_seychellensis","LC","No"
"East Central Australian Shelf","Miya_12S","Anguilla_australis_australis","Not evaluated","No"
"East Central Australian Shelf","Miya_12S","Anguilla_marmorata","LC","Yes"
"East Central Australian Shelf","Miya_12S","Anguilla_reinhardtii","LC","Yes"
"East Central Australian Shelf","Miya_12S","Anodontostoma_chacunda","LC","Yes"
"East Central Australian Shelf","Miya_12S","Anoplocapros_inermis","LC","Yes"
"East Central Australian Shelf","Miya_12S","Anoplocapros_lenticularis","LC","Yes"
"East Central Australian Shelf","Miya_12S","Anoplogaster_cornuta","LC","Yes"
"East Central Australian Shelf","Miya_12S","Anotopterus_pharao","LC","Yes"
"East Central Australian Shelf","Miya_12S","Antennarius_commerson","LC","No"
"East Central Australian Shelf","Miya_12S","Antennarius_hispidus","LC","No"
"East Central Australian Shelf","Miya_12S","Antennarius_maculatus","LC","No"
"East Central Australian Shelf","Miya_12S","Antennarius_pictus","LC","No"
"East Central Australian Shelf","Miya_12S","Antennarius_striatus","LC","No"
"East Central Australian Shelf","Miya_12S","Antennatus_coccineus","Not evaluated","No"
"East Central Australian Shelf","Miya_12S","Antennatus_duescus","Not evaluated","No"
"East Central Australian Shelf","Miya_12S","Antennatus_nummifer","LC","No"
"East Central Australian Shelf","Miya_12S","Antennatus_rosaceus","Not evaluated","No"
"East Central Australian Shelf","Miya_12S","Antennatus_tuberosus","LC","Yes"
"East Central Australian Shelf","Miya_12S","Antigonia_capros","LC","Yes"
"East Central Australian Shelf","Miya_12S","Antigonia_malayana","Not evaluated","No"
"East Central Australian Shelf","Miya_12S","Antigonia_rhomboidea","Not evaluated","No"
"East Central Australian Shelf","Miya_12S","Antigonia_rubescens","Not evaluated","Yes"
"East Central Australian Shelf","Miya_12S","Antigonia_rubicunda","Not evaluated","Yes"
"East Central Australian Shelf","Miya_12S","Antimora_rostrata","LC","No"
"East Central Australian Shelf","Miya_12S","Anyperodon_leucogrammicus","Not evaluated","Yes"
