"RegionName","Marker","Species","IUCN","Sequenced"
"Northeast Australian Shelf","Miya_12S","Abalistes_filamentosus","LC","No"
"Northeast Australian Shelf","Miya_12S","Abalistes_stellaris","Not evaluated","Yes"
"Northeast Australian Shelf","Miya_12S","Abalistes_stellatus","LC","Yes"
"Northeast Australian Shelf","Miya_12S","Ablabys_macracanthus","Not evaluated","No"
"Northeast Australian Shelf","Miya_12S","Ablabys_taenianotus","Not evaluated","Yes"
"Northeast Australian Shelf","Miya_12S","Ablennes_hians","LC","Yes"
"Northeast Australian Shelf","Miya_12S","Abudefduf_bengalensis","LC","Yes"
"Northeast Australian Shelf","Miya_12S","Abudefduf_lorenzi","LC","No"
"Northeast Australian Shelf","Miya_12S","Abudefduf_notatus","LC","Yes"
"Northeast Australian Shelf","Miya_12S","Abudefduf_saxatilis","LC","Yes"
"Northeast Australian Shelf","Miya_12S","Abudefduf_septemfasciatus","LC","Yes"
"Northeast Australian Shelf","Miya_12S","Abudefduf_sexfasciatus","LC","Yes"
"Northeast Australian Shelf","Miya_12S","Abudefduf_sordidus","LC","Yes"
"Northeast Australian Shelf","Miya_12S","Abudefduf_vaigiensis","LC","Yes"
"Northeast Australian Shelf","Miya_12S","Abudefduf_whitleyi","LC","Yes"
"Northeast Australian Shelf","Miya_12S","Acanthaluteres_brownii","LC","Yes"
"Northeast Australian Shelf","Miya_12S","Acanthaphritis_barbata","Not evaluated","No"
"Northeast Australian Shelf","Miya_12S","Acanthaphritis_grandisquamis","Not evaluated","No"
"Northeast Australian Shelf","Miya_12S","Acanthistius_cinctus","LC","No"
"Northeast Australian Shelf","Miya_12S","Acanthistius_ocellatus","LC","No"
"Northeast Australian Shelf","Miya_12S","Acanthocepola_abbreviata","Not evaluated","No"
"Northeast Australian Shelf","Miya_12S","Acanthocepola_limbata","Not evaluated","No"
"Northeast Australian Shelf","Miya_12S","Acanthochromis_polyacanthus","LC","Yes"
"Northeast Australian Shelf","Miya_12S","Acanthocybium_solandri","LC","Yes"
"Northeast Australian Shelf","Miya_12S","Acanthonus_armatus","LC","No"
"Northeast Australian Shelf","Miya_12S","Acanthopagrus_australis","LC","No"
"Northeast Australian Shelf","Miya_12S","Acanthopagrus_berda","LC","No"
"Northeast Australian Shelf","Miya_12S","Acanthopagrus_butcheri","LC","No"
"Northeast Australian Shelf","Miya_12S","Acanthopagrus_latus","DD","Yes"
"Northeast Australian Shelf","Miya_12S","Acanthoplesiops_hiatti","Not evaluated","No"
"Northeast Australian Shelf","Miya_12S","Acanthosphex_leurynnis","LC","No"
"Northeast Australian Shelf","Miya_12S","Acanthostracion_quadricornis","LC","Yes"
"Northeast Australian Shelf","Miya_12S","Acanthurus_albipectoralis","LC","No"
"Northeast Australian Shelf","Miya_12S","Acanthurus_auranticavus","LC","No"
"Northeast Australian Shelf","Miya_12S","Acanthurus_bariene","LC","Yes"
"Northeast Australian Shelf","Miya_12S","Acanthurus_blochii","LC","Yes"
"Northeast Australian Shelf","Miya_12S","Acanthurus_chronixis","VU","No"
"Northeast Australian Shelf","Miya_12S","Acanthurus_dussumieri","LC","Yes"
"Northeast Australian Shelf","Miya_12S","Acanthurus_fowleri","LC","No"
"Northeast Australian Shelf","Miya_12S","Acanthurus_gahhm","LC","Yes"
"Northeast Australian Shelf","Miya_12S","Acanthurus_grammoptilus","LC","No"
"Northeast Australian Shelf","Miya_12S","Acanthurus_guttatus","LC","Yes"
"Northeast Australian Shelf","Miya_12S","Acanthurus_leucocheilus","LC","No"
"Northeast Australian Shelf","Miya_12S","Acanthurus_lineatus","LC","Yes"
