"RegionName","Marker","Species","IUCN","Sequenced"
"Northwest Australian Shelf","Miya_12S","Abalistes_filamentosus","LC","No"
"Northwest Australian Shelf","Miya_12S","Abalistes_stellaris","Not evaluated","Yes"
"Northwest Australian Shelf","Miya_12S","Abalistes_stellatus","LC","Yes"
"Northwest Australian Shelf","Miya_12S","Ablabys_macracanthus","Not evaluated","No"
"Northwest Australian Shelf","Miya_12S","Ablabys_taenianotus","Not evaluated","Yes"
"Northwest Australian Shelf","Miya_12S","Ablennes_hians","LC","Yes"
"Northwest Australian Shelf","Miya_12S","Abudefduf_bengalensis","LC","Yes"
"Northwest Australian Shelf","Miya_12S","Abudefduf_lorenzi","LC","No"
"Northwest Australian Shelf","Miya_12S","Abudefduf_notatus","LC","Yes"
"Northwest Australian Shelf","Miya_12S","Abudefduf_saxatilis","LC","Yes"
"Northwest Australian Shelf","Miya_12S","Abudefduf_septemfasciatus","LC","Yes"
"Northwest Australian Shelf","Miya_12S","Abudefduf_sexfasciatus","LC","Yes"
"Northwest Australian Shelf","Miya_12S","Abudefduf_sordidus","LC","Yes"
"Northwest Australian Shelf","Miya_12S","Abudefduf_vaigiensis","LC","Yes"
"Northwest Australian Shelf","Miya_12S","Acanthaluteres_vittiger","LC","No"
"Northwest Australian Shelf","Miya_12S","Acanthaphritis_barbata","Not evaluated","No"
"Northwest Australian Shelf","Miya_12S","Acanthistius_pardalotus","LC","No"
"Northwest Australian Shelf","Miya_12S","Acanthocepola_abbreviata","Not evaluated","No"
"Northwest Australian Shelf","Miya_12S","Acanthocepola_krusensternii","Not evaluated","Yes"
"Northwest Australian Shelf","Miya_12S","Acanthochaenus_luetkenii","LC","No"
"Northwest Australian Shelf","Miya_12S","Acanthochromis_polyacanthus","LC","Yes"
"Northwest Australian Shelf","Miya_12S","Acanthocybium_solandri","LC","Yes"
"Northwest Australian Shelf","Miya_12S","Acanthonus_armatus","LC","No"
"Northwest Australian Shelf","Miya_12S","Acanthopagrus_australis","LC","No"
"Northwest Australian Shelf","Miya_12S","Acanthopagrus_berda","LC","No"
"Northwest Australian Shelf","Miya_12S","Acanthopagrus_latus","DD","Yes"
"Northwest Australian Shelf","Miya_12S","Acanthopagrus_palmaris","LC","No"
"Northwest Australian Shelf","Miya_12S","Acanthoplesiops_hiatti","Not evaluated","No"
"Northwest Australian Shelf","Miya_12S","Acanthosphex_leurynnis","LC","No"
"Northwest Australian Shelf","Miya_12S","Acanthostracion_quadricornis","LC","Yes"
"Northwest Australian Shelf","Miya_12S","Acanthurus_albipectoralis","LC","No"
"Northwest Australian Shelf","Miya_12S","Acanthurus_auranticavus","LC","No"
"Northwest Australian Shelf","Miya_12S","Acanthurus_bariene","LC","Yes"
"Northwest Australian Shelf","Miya_12S","Acanthurus_blochii","LC","Yes"
"Northwest Australian Shelf","Miya_12S","Acanthurus_dussumieri","LC","Yes"
"Northwest Australian Shelf","Miya_12S","Acanthurus_fowleri","LC","No"
"Northwest Australian Shelf","Miya_12S","Acanthurus_gahhm","LC","Yes"
"Northwest Australian Shelf","Miya_12S","Acanthurus_grammoptilus","LC","No"
"Northwest Australian Shelf","Miya_12S","Acanthurus_guttatus","LC","Yes"
"Northwest Australian Shelf","Miya_12S","Acanthurus_leucocheilus","LC","No"
"Northwest Australian Shelf","Miya_12S","Acanthurus_lineatus","LC","Yes"
"Northwest Australian Shelf","Miya_12S","Acanthurus_maculiceps","LC","Yes"
"Northwest Australian Shelf","Miya_12S","Acanthurus_mata","LC","Yes"
"Northwest Australian Shelf","Miya_12S","Acanthurus_nigricans","LC","Yes"
"Northwest Australian Shelf","Miya_12S","Acanthurus_nigricauda","LC","No"
"Northwest Australian Shelf","Miya_12S","Acanthurus_nigrofuscus","LC","Yes"
"Northwest Australian Shelf","Miya_12S","Acanthurus_nigroris","LC","Yes"
"Northwest Australian Shelf","Miya_12S","Acanthurus_nubilus","LC","No"
"Northwest Australian Shelf","Miya_12S","Acanthurus_olivaceus","LC","Yes"
"Northwest Australian Shelf","Miya_12S","Acanthurus_pyroferus","LC","No"
"Northwest Australian Shelf","Miya_12S","Acanthurus_thompsoni","LC","Yes"
"Northwest Australian Shelf","Miya_12S","Acanthurus_triostegus","LC","Yes"
"Northwest Australian Shelf","Miya_12S","Acanthurus_xanthopterus","LC","Yes"
"Northwest Australian Shelf","Miya_12S","Acarobythites_larsonae","DD","No"
"Northwest Australian Shelf","Miya_12S","Acentrogobius_caninus","LC","Yes"
"Northwest Australian Shelf","Miya_12S","Acentrogobius_janthinopterus","LC","No"
"Northwest Australian Shelf","Miya_12S","Acentrogobius_nebulosus","Not evaluated","No"
"Northwest Australian Shelf","Miya_12S","Acentrogobius_suluensis","Not evaluated","No"
"Northwest Australian Shelf","Miya_12S","Acentrogobius_viridipunctatus","LC","Yes"
"Northwest Australian Shelf","Miya_12S","Acentronura_tentaculata","LC","Yes"
"Northwest Australian Shelf","Miya_12S","Acreichthys_hajam","DD","No"
"Northwest Australian Shelf","Miya_12S","Acreichthys_radiatus","LC","No"
"Northwest Australian Shelf","Miya_12S","Acreichthys_tomentosus","LC","Yes"
"Northwest Australian Shelf","Miya_12S","Acropoma_japonicum","Not evaluated","Yes"
"Northwest Australian Shelf","Miya_12S","Adventor_elongatus","Not evaluated","No"
"Northwest Australian Shelf","Miya_12S","Aeoliscus_strigatus","DD","Yes"
"Northwest Australian Shelf","Miya_12S","Aesopia_cornuta","LC","No"
"Northwest Australian Shelf","Miya_12S","Aethaloperca_rogaa","Not evaluated","Yes"
"Northwest Australian Shelf","Miya_12S","Ahliesaurus_berryi","LC","No"
"Northwest Australian Shelf","Miya_12S","Aioliops_megastigma","LC","No"
"Northwest Australian Shelf","Miya_12S","Aioliops_novaeguineae","Not evaluated","No"
"Northwest Australian Shelf","Miya_12S","Aioliops_tetrophthalmus","Not evaluated","No"
"Northwest Australian Shelf","Miya_12S","Albula_argentea","DD","No"
"Northwest Australian Shelf","Miya_12S","Albula_glossodonta","VU","Yes"
"Northwest Australian Shelf","Miya_12S","Albula_oligolepis","DD","No"
"Northwest Australian Shelf","Miya_12S","Albula_vulpes","NT","No"
"Northwest Australian Shelf","Miya_12S","Alcockia_rostrata","LC","No"
"Northwest Australian Shelf","Miya_12S","Aldrichetta_forsteri","LC","Yes"
"Northwest Australian Shelf","Miya_12S","Aldrovandia_affinis","LC","Yes"
"Northwest Australian Shelf","Miya_12S","Aldrovandia_phalacra","LC","Yes"
"Northwest Australian Shelf","Miya_12S","Aldrovandia_rostrata","LC","No"
