"RegionName","Marker","Species","IUCN","Sequenced"
"Sahul Shelf","Miya_12S","Abalistes_filamentosus","LC","No"
"Sahul Shelf","Miya_12S","Abalistes_stellaris","Not evaluated","Yes"
"Sahul Shelf","Miya_12S","Abalistes_stellatus","LC","Yes"
"Sahul Shelf","Miya_12S","Ablabys_macracanthus","Not evaluated","No"
"Sahul Shelf","Miya_12S","Ablabys_taenianotus","Not evaluated","Yes"
"Sahul Shelf","Miya_12S","Ablennes_hians","LC","Yes"
"Sahul Shelf","Miya_12S","Abudefduf_bengalensis","LC","Yes"
"Sahul Shelf","Miya_12S","Abudefduf_lorenzi","LC","No"
"Sahul Shelf","Miya_12S","Abudefduf_notatus","LC","Yes"
"Sahul Shelf","Miya_12S","Abudefduf_saxatilis","LC","Yes"
"Sahul Shelf","Miya_12S","Abudefduf_septemfasciatus","LC","Yes"
"Sahul Shelf","Miya_12S","Abudefduf_sexfasciatus","LC","Yes"
"Sahul Shelf","Miya_12S","Abudefduf_sordidus","LC","Yes"
"Sahul Shelf","Miya_12S","Abudefduf_vaigiensis","LC","Yes"
"Sahul Shelf","Miya_12S","Abudefduf_whitleyi","LC","Yes"
"Sahul Shelf","Miya_12S","Acanthaluteres_brownii","LC","Yes"
"Sahul Shelf","Miya_12S","Acanthaphritis_barbata","Not evaluated","No"
"Sahul Shelf","Miya_12S","Acanthaphritis_grandisquamis","Not evaluated","No"
"Sahul Shelf","Miya_12S","Acanthocepola_abbreviata","Not evaluated","No"
"Sahul Shelf","Miya_12S","Acanthochromis_polyacanthus","LC","Yes"
"Sahul Shelf","Miya_12S","Acanthocybium_solandri","LC","Yes"
"Sahul Shelf","Miya_12S","Acanthopagrus_australis","LC","No"
"Sahul Shelf","Miya_12S","Acanthopagrus_berda","LC","No"
"Sahul Shelf","Miya_12S","Acanthopagrus_butcheri","LC","No"
"Sahul Shelf","Miya_12S","Acanthopagrus_latus","DD","Yes"
"Sahul Shelf","Miya_12S","Acanthoplesiops_hiatti","Not evaluated","No"
"Sahul Shelf","Miya_12S","Acanthosphex_leurynnis","LC","No"
"Sahul Shelf","Miya_12S","Acanthostracion_quadricornis","LC","Yes"
"Sahul Shelf","Miya_12S","Acanthurus_albipectoralis","LC","No"
"Sahul Shelf","Miya_12S","Acanthurus_auranticavus","LC","No"
"Sahul Shelf","Miya_12S","Acanthurus_bariene","LC","Yes"
"Sahul Shelf","Miya_12S","Acanthurus_blochii","LC","Yes"
"Sahul Shelf","Miya_12S","Acanthurus_dussumieri","LC","Yes"
"Sahul Shelf","Miya_12S","Acanthurus_fowleri","LC","No"
"Sahul Shelf","Miya_12S","Acanthurus_gahhm","LC","Yes"
"Sahul Shelf","Miya_12S","Acanthurus_grammoptilus","LC","No"
"Sahul Shelf","Miya_12S","Acanthurus_guttatus","LC","Yes"
"Sahul Shelf","Miya_12S","Acanthurus_leucocheilus","LC","No"
"Sahul Shelf","Miya_12S","Acanthurus_lineatus","LC","Yes"
"Sahul Shelf","Miya_12S","Acanthurus_maculiceps","LC","Yes"
"Sahul Shelf","Miya_12S","Acanthurus_mata","LC","Yes"
"Sahul Shelf","Miya_12S","Acanthurus_nigricans","LC","Yes"
"Sahul Shelf","Miya_12S","Acanthurus_nigricauda","LC","No"
"Sahul Shelf","Miya_12S","Acanthurus_nigrofuscus","LC","Yes"
"Sahul Shelf","Miya_12S","Acanthurus_nigroris","LC","Yes"
"Sahul Shelf","Miya_12S","Acanthurus_nubilus","LC","No"
"Sahul Shelf","Miya_12S","Acanthurus_olivaceus","LC","Yes"
"Sahul Shelf","Miya_12S","Acanthurus_pyroferus","LC","No"
"Sahul Shelf","Miya_12S","Acanthurus_thompsoni","LC","Yes"
"Sahul Shelf","Miya_12S","Acanthurus_triostegus","LC","Yes"
"Sahul Shelf","Miya_12S","Acanthurus_xanthopterus","LC","Yes"
"Sahul Shelf","Miya_12S","Acentrogobius_caninus","LC","Yes"
"Sahul Shelf","Miya_12S","Acentrogobius_janthinopterus","LC","No"
"Sahul Shelf","Miya_12S","Acentrogobius_nebulosus","Not evaluated","No"
"Sahul Shelf","Miya_12S","Acentrogobius_suluensis","Not evaluated","No"
"Sahul Shelf","Miya_12S","Acentrogobius_viridipunctatus","LC","Yes"
"Sahul Shelf","Miya_12S","Acentronura_tentaculata","LC","Yes"
"Sahul Shelf","Miya_12S","Acreichthys_hajam","DD","No"
"Sahul Shelf","Miya_12S","Acreichthys_radiatus","LC","No"
"Sahul Shelf","Miya_12S","Acreichthys_tomentosus","LC","Yes"
"Sahul Shelf","Miya_12S","Acropoma_japonicum","Not evaluated","Yes"
"Sahul Shelf","Miya_12S","Adventor_elongatus","Not evaluated","No"
"Sahul Shelf","Miya_12S","Aeoliscus_strigatus","DD","Yes"
"Sahul Shelf","Miya_12S","Aesopia_cornuta","LC","No"
"Sahul Shelf","Miya_12S","Aethaloperca_rogaa","Not evaluated","Yes"
"Sahul Shelf","Miya_12S","Ahliesaurus_brevis","LC","No"
"Sahul Shelf","Miya_12S","Aioliops_megastigma","LC","No"
"Sahul Shelf","Miya_12S","Aioliops_novaeguineae","Not evaluated","No"
"Sahul Shelf","Miya_12S","Aioliops_tetrophthalmus","Not evaluated","No"
"Sahul Shelf","Miya_12S","Albula_argentea","DD","No"
"Sahul Shelf","Miya_12S","Albula_glossodonta","VU","Yes"
"Sahul Shelf","Miya_12S","Albula_oligolepis","DD","No"
"Sahul Shelf","Miya_12S","Albula_vulpes","NT","No"
"Sahul Shelf","Miya_12S","Aldrovandia_affinis","LC","Yes"
"Sahul Shelf","Miya_12S","Aldrovandia_phalacra","LC","Yes"
"Sahul Shelf","Miya_12S","Alectis_ciliaris","LC","Yes"
"Sahul Shelf","Miya_12S","Alectis_indica","LC","No"
"Sahul Shelf","Miya_12S","Alepes_apercna","LC","No"
"Sahul Shelf","Miya_12S","Alepes_djedaba","LC","Yes"
"Sahul Shelf","Miya_12S","Alepes_kleinii","LC","Yes"
"Sahul Shelf","Miya_12S","Alepes_melanoptera","LC","No"
"Sahul Shelf","Miya_12S","Alepes_vari","LC","No"
"Sahul Shelf","Miya_12S","Alepisaurus_ferox","LC","Yes"
"Sahul Shelf","Miya_12S","Allenbatrachus_grunniens","Not evaluated","No"
"Sahul Shelf","Miya_12S","Allomogurnda_nesolepis","LC","No"
"Sahul Shelf","Miya_12S","Alticus_saliens","DD","No"
"Sahul Shelf","Miya_12S","Aluterus_monoceros","LC","Yes"
"Sahul Shelf","Miya_12S","Aluterus_scriptus","LC","Yes"
"Sahul Shelf","Miya_12S","Amanses_scopas","LC","Yes"
"Sahul Shelf","Miya_12S","Amarsipus_carlsbergi","Not evaluated","Yes"
"Sahul Shelf","Miya_12S","Ambassis_agrammus","LC","No"
"Sahul Shelf","Miya_12S","Ambassis_ambassis","LC","No"
"Sahul Shelf","Miya_12S","Ambassis_buruensis","DD","Yes"
"Sahul Shelf","Miya_12S","Ambassis_dussumieri","LC","No"
"Sahul Shelf","Miya_12S","Ambassis_elongata","LC","No"
"Sahul Shelf","Miya_12S","Ambassis_gymnocephalus","LC","Yes"
"Sahul Shelf","Miya_12S","Ambassis_interrupta","LC","Yes"
"Sahul Shelf","Miya_12S","Ambassis_macleayi","LC","Yes"
"Sahul Shelf","Miya_12S","Ambassis_macracanthus","DD","No"
"Sahul Shelf","Miya_12S","Ambassis_miops","LC","No"
"Sahul Shelf","Miya_12S","Ambassis_nalua","LC","No"
"Sahul Shelf","Miya_12S","Ambassis_urotaenia","LC","No"
"Sahul Shelf","Miya_12S","Ambassis_vachellii","LC","No"
"Sahul Shelf","Miya_12S","Amblycirrhitus_bimacula","LC","No"
"Sahul Shelf","Miya_12S","Amblyeleotris_callopareia","DD","No"
"Sahul Shelf","Miya_12S","Amblyeleotris_diagonalis","LC","No"
"Sahul Shelf","Miya_12S","Amblyeleotris_fasciata","LC","No"
"Sahul Shelf","Miya_12S","Amblyeleotris_fontanesii","LC","No"
"Sahul Shelf","Miya_12S","Amblyeleotris_guttata","LC","Yes"
"Sahul Shelf","Miya_12S","Amblyeleotris_gymnocephala","LC","No"
"Sahul Shelf","Miya_12S","Amblyeleotris_latifasciata","LC","No"
"Sahul Shelf","Miya_12S","Amblyeleotris_macronema","Not evaluated","No"
"Sahul Shelf","Miya_12S","Amblyeleotris_masuii","Not evaluated","No"
"Sahul Shelf","Miya_12S","Amblyeleotris_neumanni","DD","No"
"Sahul Shelf","Miya_12S","Amblyeleotris_novaecaledoniae","LC","No"
"Sahul Shelf","Miya_12S","Amblyeleotris_ogasawarensis","LC","No"
"Sahul Shelf","Miya_12S","Amblyeleotris_periophthalma","LC","No"
"Sahul Shelf","Miya_12S","Amblyeleotris_randalli","LC","No"
"Sahul Shelf","Miya_12S","Amblyeleotris_rhyax","LC","No"
"Sahul Shelf","Miya_12S","Amblyeleotris_rubrimarginata","LC","No"
"Sahul Shelf","Miya_12S","Amblyeleotris_steinitzi","LC","No"
"Sahul Shelf","Miya_12S","Amblyeleotris_wheeleri","LC","Yes"
"Sahul Shelf","Miya_12S","Amblyeleotris_yanoi","LC","No"
"Sahul Shelf","Miya_12S","Amblygaster_clupeoides","LC","No"
"Sahul Shelf","Miya_12S","Amblygaster_leiogaster","LC","No"
"Sahul Shelf","Miya_12S","Amblygaster_sirm","LC","Yes"
"Sahul Shelf","Miya_12S","Amblyglyphidodon_aureus","LC","Yes"
"Sahul Shelf","Miya_12S","Amblyglyphidodon_batunai","VU","No"
"Sahul Shelf","Miya_12S","Amblyglyphidodon_curacao","LC","Yes"
"Sahul Shelf","Miya_12S","Amblyglyphidodon_leucogaster","LC","Yes"
"Sahul Shelf","Miya_12S","Amblyglyphidodon_ternatensis","VU","Yes"
"Sahul Shelf","Miya_12S","Amblygobius_albimaculatus","LC","No"
"Sahul Shelf","Miya_12S","Amblygobius_buanensis","LC","No"
"Sahul Shelf","Miya_12S","Amblygobius_bynoensis","LC","No"
"Sahul Shelf","Miya_12S","Amblygobius_decussatus","LC","No"
"Sahul Shelf","Miya_12S","Amblygobius_esakiae","LC","No"
"Sahul Shelf","Miya_12S","Amblygobius_linki","LC","No"
"Sahul Shelf","Miya_12S","Amblygobius_nocturnus","LC","No"
"Sahul Shelf","Miya_12S","Amblygobius_phalaena","LC","Yes"
"Sahul Shelf","Miya_12S","Amblygobius_sphynx","LC","No"
"Sahul Shelf","Miya_12S","Amblygobius_stethophthalmus","LC","No"
"Sahul Shelf","Miya_12S","Amblygobius_tekomaji","LC","No"
"Sahul Shelf","Miya_12S","Amblyotrypauchen_arctocephalus","LC","Yes"
"Sahul Shelf","Miya_12S","Amblypomacentrus_breviceps","LC","Yes"
"Sahul Shelf","Miya_12S","Amissidens_hainesi","Not evaluated","No"
"Sahul Shelf","Miya_12S","Ammodytoides_idai","Not evaluated","No"
"Sahul Shelf","Miya_12S","Amniataba_affinis","LC","No"
"Sahul Shelf","Miya_12S","Amniataba_caudavittata","Not evaluated","No"
"Sahul Shelf","Miya_12S","Amniataba_percoides","LC","No"
"Sahul Shelf","Miya_12S","Amoya_gracilis","Not evaluated","No"
"Sahul Shelf","Miya_12S","Amoya_moloanus","Not evaluated","No"
"Sahul Shelf","Miya_12S","Amoya_signata","Not evaluated","No"
"Sahul Shelf","Miya_12S","Amphichaetodon_melbae","DD","Yes"
"Sahul Shelf","Miya_12S","Amphiprion_akindynos","LC","Yes"
"Sahul Shelf","Miya_12S","Amphiprion_bicinctus","LC","Yes"
