"RegionName","Marker","Species","IUCN","Sequenced"
"Southeast Australian Shelf","Miya_12S","Abalistes_stellatus","LC","Yes"
"Southeast Australian Shelf","Miya_12S","Ablennes_hians","LC","Yes"
"Southeast Australian Shelf","Miya_12S","Abudefduf_bengalensis","LC","Yes"
"Southeast Australian Shelf","Miya_12S","Abudefduf_sexfasciatus","LC","Yes"
"Southeast Australian Shelf","Miya_12S","Abudefduf_sordidus","LC","Yes"
"Southeast Australian Shelf","Miya_12S","Abudefduf_vaigiensis","LC","Yes"
"Southeast Australian Shelf","Miya_12S","Acanthaluteres_brownii","LC","Yes"
"Southeast Australian Shelf","Miya_12S","Acanthaluteres_vittiger","LC","No"
"Southeast Australian Shelf","Miya_12S","Acanthistius_ocellatus","LC","No"
"Southeast Australian Shelf","Miya_12S","Acanthistius_serratus","Not evaluated","No"
"Southeast Australian Shelf","Miya_12S","Acanthoclinus_littoreus","Not evaluated","No"
"Southeast Australian Shelf","Miya_12S","Acanthocybium_solandri","LC","Yes"
"Southeast Australian Shelf","Miya_12S","Acanthogobius_flavimanus","LC","Yes"
"Southeast Australian Shelf","Miya_12S","Acanthopagrus_australis","LC","No"
"Southeast Australian Shelf","Miya_12S","Acanthopagrus_berda","LC","No"
"Southeast Australian Shelf","Miya_12S","Acanthopagrus_butcheri","LC","No"
"Southeast Australian Shelf","Miya_12S","Acanthurus_dussumieri","LC","Yes"
"Southeast Australian Shelf","Miya_12S","Acanthurus_lineatus","LC","Yes"
"Southeast Australian Shelf","Miya_12S","Acanthurus_xanthopterus","LC","Yes"
"Southeast Australian Shelf","Miya_12S","Acentrogobius_pflaumii","LC","Yes"
"Southeast Australian Shelf","Miya_12S","Achiropsetta_tricholepis","DD","No"
"Southeast Australian Shelf","Miya_12S","Achoerodus_gouldii","VU","No"
"Southeast Australian Shelf","Miya_12S","Achoerodus_viridis","NT","Yes"
"Southeast Australian Shelf","Miya_12S","Acreichthys_tomentosus","LC","Yes"
"Southeast Australian Shelf","Miya_12S","Aeoliscus_strigatus","DD","Yes"
"Southeast Australian Shelf","Miya_12S","Aetapcus_maculatus","Not evaluated","No"
"Southeast Australian Shelf","Miya_12S","Agrostichthys_parkeri","LC","No"
"Southeast Australian Shelf","Miya_12S","Alabes_dorsalis","Not evaluated","No"
"Southeast Australian Shelf","Miya_12S","Alabes_hoesei","Not evaluated","No"
