"RegionName","Marker","Species","IUCN","Sequenced"
"Southwest Australian Shelf","Miya_12S","Abalistes_stellatus","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Ablabys_taenianotus","Not evaluated","Yes"
"Southwest Australian Shelf","Miya_12S","Ablennes_hians","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Abudefduf_bengalensis","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Abudefduf_sexfasciatus","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Abudefduf_sordidus","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Abudefduf_vaigiensis","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Acanthaluteres_brownii","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Acanthaluteres_spilomelanurus","LC","No"
"Southwest Australian Shelf","Miya_12S","Acanthaluteres_vittiger","LC","No"
"Southwest Australian Shelf","Miya_12S","Acanthistius_cinctus","LC","No"
"Southwest Australian Shelf","Miya_12S","Acanthistius_serratus","Not evaluated","No"
"Southwest Australian Shelf","Miya_12S","Acanthoclinus_littoreus","Not evaluated","No"
"Southwest Australian Shelf","Miya_12S","Acanthocybium_solandri","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Acanthopagrus_australis","LC","No"
"Southwest Australian Shelf","Miya_12S","Acanthopagrus_berda","LC","No"
"Southwest Australian Shelf","Miya_12S","Acanthopagrus_butcheri","LC","No"
"Southwest Australian Shelf","Miya_12S","Acanthosphex_leurynnis","LC","No"
"Southwest Australian Shelf","Miya_12S","Acanthurus_blochii","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Acanthurus_dussumieri","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Acanthurus_lineatus","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Acanthurus_mata","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Acanthurus_nigrofuscus","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Acanthurus_olivaceus","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Acanthurus_triostegus","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Acanthurus_xanthopterus","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Achoerodus_gouldii","VU","No"
"Southwest Australian Shelf","Miya_12S","Achoerodus_viridis","NT","Yes"
"Southwest Australian Shelf","Miya_12S","Acreichthys_tomentosus","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Aeoliscus_strigatus","DD","Yes"
"Southwest Australian Shelf","Miya_12S","Aesopia_cornuta","LC","No"
"Southwest Australian Shelf","Miya_12S","Aetapcus_maculatus","Not evaluated","No"
"Southwest Australian Shelf","Miya_12S","Afurcagobius_tamarensis","Not evaluated","Yes"
"Southwest Australian Shelf","Miya_12S","Agrostichthys_parkeri","LC","No"
"Southwest Australian Shelf","Miya_12S","Alabes_dorsalis","Not evaluated","No"
"Southwest Australian Shelf","Miya_12S","Alabes_hoesei","Not evaluated","No"
"Southwest Australian Shelf","Miya_12S","Alabes_parvula","LC","No"
"Southwest Australian Shelf","Miya_12S","Albula_oligolepis","DD","No"
"Southwest Australian Shelf","Miya_12S","Aldrichetta_forsteri","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Aldrovandia_affinis","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Aldrovandia_phalacra","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Alectis_ciliaris","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Alectis_indica","LC","No"
"Southwest Australian Shelf","Miya_12S","Alepes_djedaba","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Alepisaurus_brevirostris","LC","No"
"Southwest Australian Shelf","Miya_12S","Alepisaurus_ferox","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Alepocephalus_antipodianus","Not evaluated","No"
"Southwest Australian Shelf","Miya_12S","Alepocephalus_australis","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Alepocephalus_triangularis","Not evaluated","No"
"Southwest Australian Shelf","Miya_12S","Allenichthys_glauerti","Not evaluated","No"
"Southwest Australian Shelf","Miya_12S","Allocyttus_niger","Not evaluated","Yes"
"Southwest Australian Shelf","Miya_12S","Allocyttus_verrucosus","LC","No"
"Southwest Australian Shelf","Miya_12S","Allomycterus_pilatus","DD","Yes"
"Southwest Australian Shelf","Miya_12S","Allothunnus_fallai","LC","No"
"Southwest Australian Shelf","Miya_12S","Aluterus_monoceros","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Aluterus_scriptus","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Ambassis_gymnocephalus","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Amblygobius_phalaena","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Ammotretis_brevipinnis","DD","No"
"Southwest Australian Shelf","Miya_12S","Ammotretis_elongatus","DD","No"
"Southwest Australian Shelf","Miya_12S","Ammotretis_lituratus","DD","No"
"Southwest Australian Shelf","Miya_12S","Ammotretis_macrolepis","DD","No"
"Southwest Australian Shelf","Miya_12S","Ammotretis_rostratus","DD","No"
"Southwest Australian Shelf","Miya_12S","Amniataba_caudavittata","Not evaluated","No"
"Southwest Australian Shelf","Miya_12S","Amphiprion_clarkii","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Anampses_caeruleopunctatus","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Anampses_geographicus","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Anarchias_seychellensis","LC","No"
"Southwest Australian Shelf","Miya_12S","Anguilla_australis_australis","Not evaluated","No"
"Southwest Australian Shelf","Miya_12S","Anguilla_marmorata","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Anoplocapros_amygdaloides","LC","No"
"Southwest Australian Shelf","Miya_12S","Anoplocapros_inermis","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Anoplocapros_lenticularis","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Anoplogaster_cornuta","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Anotopterus_pharao","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Antennarius_commerson","LC","No"
"Southwest Australian Shelf","Miya_12S","Antennarius_hispidus","LC","No"
"Southwest Australian Shelf","Miya_12S","Antennarius_pictus","LC","No"
"Southwest Australian Shelf","Miya_12S","Antennarius_striatus","LC","No"
"Southwest Australian Shelf","Miya_12S","Antennatus_coccineus","Not evaluated","No"
"Southwest Australian Shelf","Miya_12S","Antennatus_nummifer","LC","No"
"Southwest Australian Shelf","Miya_12S","Antigonia_capros","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Antigonia_rubescens","Not evaluated","Yes"
"Southwest Australian Shelf","Miya_12S","Antigonia_rubicunda","Not evaluated","Yes"
"Southwest Australian Shelf","Miya_12S","Antimora_rostrata","LC","No"
"Southwest Australian Shelf","Miya_12S","Aphareus_furca","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Aphareus_rutilans","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Apistus_carinatus","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Aploactisoma_milesii","LC","No"
"Southwest Australian Shelf","Miya_12S","Aplodactylus_arctidens","Not evaluated","No"
"Southwest Australian Shelf","Miya_12S","Aplodactylus_westralis","Not evaluated","No"
"Southwest Australian Shelf","Miya_12S","Apogon_caudicinctus","Not evaluated","No"
"Southwest Australian Shelf","Miya_12S","Apogon_coccineus","LC","No"
"Southwest Australian Shelf","Miya_12S","Apogon_crassiceps","LC","No"
"Southwest Australian Shelf","Miya_12S","Apogon_doederleini","Not evaluated","No"
"Southwest Australian Shelf","Miya_12S","Apogon_nigripes","Not evaluated","No"
"Southwest Australian Shelf","Miya_12S","Apogon_semiornatus","LC","No"
"Southwest Australian Shelf","Miya_12S","Apogon_victoriae","Not evaluated","No"
"Southwest Australian Shelf","Miya_12S","Apogonichthys_ocellatus","LC","No"
"Southwest Australian Shelf","Miya_12S","Apogonops_anomalus","Not evaluated","No"
"Southwest Australian Shelf","Miya_12S","Aprion_virescens","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Aracana_aurita","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Aracana_ornata","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Arenigobius_bifrenatus","Not evaluated","No"
"Southwest Australian Shelf","Miya_12S","Argentina_australiae","Not evaluated","No"
"Southwest Australian Shelf","Miya_12S","Argentina_elongata","Not evaluated","No"
"Southwest Australian Shelf","Miya_12S","Argyripnus_iridescens","LC","No"
"Southwest Australian Shelf","Miya_12S","Argyropelecus_aculeatus","LC","No"
"Southwest Australian Shelf","Miya_12S","Argyropelecus_gigas","LC","No"
"Southwest Australian Shelf","Miya_12S","Argyropelecus_hemigymnus","LC","No"
"Southwest Australian Shelf","Miya_12S","Argyropelecus_sladeni","LC","No"
"Southwest Australian Shelf","Miya_12S","Argyrops_spinifer","LC","No"
"Southwest Australian Shelf","Miya_12S","Argyrosomus_hololepidotus","DD","No"
"Southwest Australian Shelf","Miya_12S","Argyrosomus_japonicus","EN","Yes"
"Southwest Australian Shelf","Miya_12S","Ariosoma_anago","DD","Yes"
"Southwest Australian Shelf","Miya_12S","Ariosoma_mauritianum","LC","No"
"Southwest Australian Shelf","Miya_12S","Ariosoma_scheelei","LC","No"
"Southwest Australian Shelf","Miya_12S","Arnoglossus_bassensis","LC","No"
"Southwest Australian Shelf","Miya_12S","Arnoglossus_imperialis","LC","No"
"Southwest Australian Shelf","Miya_12S","Arnoglossus_muelleri","LC","No"
"Southwest Australian Shelf","Miya_12S","Arothron_firmamentum","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Arothron_hispidus","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Arothron_manilensis","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Arothron_meleagris","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Arothron_nigropunctatus","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Arothron_stellatus","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Arripis_georgianus","Not evaluated","No"
"Southwest Australian Shelf","Miya_12S","Arripis_trutta","Not evaluated","Yes"
"Southwest Australian Shelf","Miya_12S","Arripis_truttacea","Not evaluated","No"
"Southwest Australian Shelf","Miya_12S","Aseraggodes_haackeanus","LC","No"
"Southwest Australian Shelf","Miya_12S","Aspasmogaster_liorhyncha","Not evaluated","No"
"Southwest Australian Shelf","Miya_12S","Aspasmogaster_tasmaniensis","Not evaluated","No"
"Southwest Australian Shelf","Miya_12S","Aspidontus_dussumieri","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Aspidontus_taeniatus","LC","No"
"Southwest Australian Shelf","Miya_12S","Asterropteryx_semipunctata","LC","Yes"
"Southwest Australian Shelf","Miya_12S","Asthenomacrurus_victoris","Not evaluated","No"
"Southwest Australian Shelf","Miya_12S","Astronesthes_bilobatus","LC","No"
"Southwest Australian Shelf","Miya_12S","Astronesthes_boulengeri","LC","No"
"Southwest Australian Shelf","Miya_12S","Astronesthes_cyaneus","LC","No"
"Southwest Australian Shelf","Miya_12S","Astronesthes_indicus","LC","No"
