"RegionName","Marker","Species","IUCN","Sequenced"
"West Central Australian Shelf","Miya_12S","Abalistes_filamentosus","LC","No"
"West Central Australian Shelf","Miya_12S","Abalistes_stellaris","Not evaluated","Yes"
"West Central Australian Shelf","Miya_12S","Abalistes_stellatus","LC","Yes"
"West Central Australian Shelf","Miya_12S","Ablabys_taenianotus","Not evaluated","Yes"
"West Central Australian Shelf","Miya_12S","Ablennes_hians","LC","Yes"
"West Central Australian Shelf","Miya_12S","Abudefduf_bengalensis","LC","Yes"
"West Central Australian Shelf","Miya_12S","Abudefduf_saxatilis","LC","Yes"
"West Central Australian Shelf","Miya_12S","Abudefduf_septemfasciatus","LC","Yes"
"West Central Australian Shelf","Miya_12S","Abudefduf_sexfasciatus","LC","Yes"
"West Central Australian Shelf","Miya_12S","Abudefduf_sordidus","LC","Yes"
"West Central Australian Shelf","Miya_12S","Abudefduf_vaigiensis","LC","Yes"
"West Central Australian Shelf","Miya_12S","Acanthaluteres_brownii","LC","Yes"
"West Central Australian Shelf","Miya_12S","Acanthaluteres_spilomelanurus","LC","No"
"West Central Australian Shelf","Miya_12S","Acanthaluteres_vittiger","LC","No"
"West Central Australian Shelf","Miya_12S","Acanthistius_cinctus","LC","No"
"West Central Australian Shelf","Miya_12S","Acanthistius_pardalotus","LC","No"
"West Central Australian Shelf","Miya_12S","Acanthistius_serratus","Not evaluated","No"
"West Central Australian Shelf","Miya_12S","Acanthocepola_abbreviata","Not evaluated","No"
"West Central Australian Shelf","Miya_12S","Acanthocepola_krusensternii","Not evaluated","Yes"
"West Central Australian Shelf","Miya_12S","Acanthochaenus_luetkenii","LC","No"
"West Central Australian Shelf","Miya_12S","Acanthochromis_polyacanthus","LC","Yes"
"West Central Australian Shelf","Miya_12S","Acanthoclinus_littoreus","Not evaluated","No"
"West Central Australian Shelf","Miya_12S","Acanthocybium_solandri","LC","Yes"
"West Central Australian Shelf","Miya_12S","Acanthonus_armatus","LC","No"
"West Central Australian Shelf","Miya_12S","Acanthopagrus_australis","LC","No"
"West Central Australian Shelf","Miya_12S","Acanthopagrus_berda","LC","No"
"West Central Australian Shelf","Miya_12S","Acanthopagrus_butcheri","LC","No"
"West Central Australian Shelf","Miya_12S","Acanthopagrus_latus","DD","Yes"
"West Central Australian Shelf","Miya_12S","Acanthopagrus_palmaris","LC","No"
"West Central Australian Shelf","Miya_12S","Acanthosphex_leurynnis","LC","No"
"West Central Australian Shelf","Miya_12S","Acanthurus_auranticavus","LC","No"
"West Central Australian Shelf","Miya_12S","Acanthurus_blochii","LC","Yes"
"West Central Australian Shelf","Miya_12S","Acanthurus_dussumieri","LC","Yes"
"West Central Australian Shelf","Miya_12S","Acanthurus_grammoptilus","LC","No"
"West Central Australian Shelf","Miya_12S","Acanthurus_guttatus","LC","Yes"
"West Central Australian Shelf","Miya_12S","Acanthurus_lineatus","LC","Yes"
"West Central Australian Shelf","Miya_12S","Acanthurus_mata","LC","Yes"
"West Central Australian Shelf","Miya_12S","Acanthurus_nigricans","LC","Yes"
"West Central Australian Shelf","Miya_12S","Acanthurus_nigricauda","LC","No"
"West Central Australian Shelf","Miya_12S","Acanthurus_nigrofuscus","LC","Yes"
"West Central Australian Shelf","Miya_12S","Acanthurus_nubilus","LC","No"
"West Central Australian Shelf","Miya_12S","Acanthurus_olivaceus","LC","Yes"
"West Central Australian Shelf","Miya_12S","Acanthurus_thompsoni","LC","Yes"
"West Central Australian Shelf","Miya_12S","Acanthurus_triostegus","LC","Yes"
"West Central Australian Shelf","Miya_12S","Acanthurus_xanthopterus","LC","Yes"
"West Central Australian Shelf","Miya_12S","Acarobythites_larsonae","DD","No"
"West Central Australian Shelf","Miya_12S","Acentrogobius_janthinopterus","LC","No"
"West Central Australian Shelf","Miya_12S","Acentrogobius_nebulosus","Not evaluated","No"
"West Central Australian Shelf","Miya_12S","Acentrogobius_viridipunctatus","LC","Yes"
"West Central Australian Shelf","Miya_12S","Achoerodus_gouldii","VU","No"
"West Central Australian Shelf","Miya_12S","Acreichthys_tomentosus","LC","Yes"
"West Central Australian Shelf","Miya_12S","Acropoma_japonicum","Not evaluated","Yes"
"West Central Australian Shelf","Miya_12S","Adventor_elongatus","Not evaluated","No"
"West Central Australian Shelf","Miya_12S","Aeoliscus_strigatus","DD","Yes"
"West Central Australian Shelf","Miya_12S","Aesopia_cornuta","LC","No"
"West Central Australian Shelf","Miya_12S","Aetapcus_maculatus","Not evaluated","No"
"West Central Australian Shelf","Miya_12S","Aethaloperca_rogaa","Not evaluated","Yes"
"West Central Australian Shelf","Miya_12S","Ahliesaurus_berryi","LC","No"
"West Central Australian Shelf","Miya_12S","Alabes_brevis","Not evaluated","No"
"West Central Australian Shelf","Miya_12S","Alabes_elongata","Not evaluated","No"
"West Central Australian Shelf","Miya_12S","Alabes_gibbosa","Not evaluated","No"
"West Central Australian Shelf","Miya_12S","Alabes_hoesei","Not evaluated","No"
"West Central Australian Shelf","Miya_12S","Alabes_obtusirostris","Not evaluated","No"
"West Central Australian Shelf","Miya_12S","Alabes_occidentalis","Not evaluated","No"
"West Central Australian Shelf","Miya_12S","Albula_argentea","DD","No"
"West Central Australian Shelf","Miya_12S","Albula_glossodonta","VU","Yes"
"West Central Australian Shelf","Miya_12S","Albula_oligolepis","DD","No"
"West Central Australian Shelf","Miya_12S","Aldrichetta_forsteri","LC","Yes"
"West Central Australian Shelf","Miya_12S","Aldrovandia_affinis","LC","Yes"
"West Central Australian Shelf","Miya_12S","Aldrovandia_phalacra","LC","Yes"
"West Central Australian Shelf","Miya_12S","Aldrovandia_rostrata","LC","No"
"West Central Australian Shelf","Miya_12S","Alectis_ciliaris","LC","Yes"
"West Central Australian Shelf","Miya_12S","Alectis_indica","LC","No"
"West Central Australian Shelf","Miya_12S","Alepes_apercna","LC","No"
"West Central Australian Shelf","Miya_12S","Alepes_djedaba","LC","Yes"
"West Central Australian Shelf","Miya_12S","Alepes_kleinii","LC","Yes"
"West Central Australian Shelf","Miya_12S","Alepes_vari","LC","No"
"West Central Australian Shelf","Miya_12S","Alepisaurus_brevirostris","LC","No"
"West Central Australian Shelf","Miya_12S","Alepisaurus_ferox","LC","Yes"
"West Central Australian Shelf","Miya_12S","Alepocephalus_antipodianus","Not evaluated","No"
"West Central Australian Shelf","Miya_12S","Alepocephalus_australis","LC","Yes"
"West Central Australian Shelf","Miya_12S","Alepocephalus_productus","LC","Yes"
"West Central Australian Shelf","Miya_12S","Alepocephalus_triangularis","Not evaluated","No"
"West Central Australian Shelf","Miya_12S","Allenichthys_glauerti","Not evaluated","No"
"West Central Australian Shelf","Miya_12S","Allocyttus_verrucosus","LC","No"
"West Central Australian Shelf","Miya_12S","Allomycterus_pilatus","DD","Yes"
"West Central Australian Shelf","Miya_12S","Allothunnus_fallai","LC","No"
"West Central Australian Shelf","Miya_12S","Aluterus_monoceros","LC","Yes"
"West Central Australian Shelf","Miya_12S","Aluterus_scriptus","LC","Yes"
"West Central Australian Shelf","Miya_12S","Amanses_scopas","LC","Yes"
"West Central Australian Shelf","Miya_12S","Ambassis_agrammus","LC","No"
"West Central Australian Shelf","Miya_12S","Ambassis_dussumieri","LC","No"
"West Central Australian Shelf","Miya_12S","Ambassis_gymnocephalus","LC","Yes"
"West Central Australian Shelf","Miya_12S","Ambassis_interrupta","LC","Yes"
"West Central Australian Shelf","Miya_12S","Ambassis_macleayi","LC","Yes"
"West Central Australian Shelf","Miya_12S","Ambassis_nalua","LC","No"
"West Central Australian Shelf","Miya_12S","Ambassis_urotaenia","LC","No"
"West Central Australian Shelf","Miya_12S","Ambassis_vachellii","LC","No"
"West Central Australian Shelf","Miya_12S","Amblycirrhitus_bimacula","LC","No"
"West Central Australian Shelf","Miya_12S","Amblyeleotris_diagonalis","LC","No"
"West Central Australian Shelf","Miya_12S","Amblyeleotris_fasciata","LC","No"
"West Central Australian Shelf","Miya_12S","Amblyeleotris_gymnocephala","LC","No"
"West Central Australian Shelf","Miya_12S","Amblyeleotris_periophthalma","LC","No"
"West Central Australian Shelf","Miya_12S","Amblyeleotris_steinitzi","LC","No"
"West Central Australian Shelf","Miya_12S","Amblyeleotris_wheeleri","LC","Yes"
"West Central Australian Shelf","Miya_12S","Amblygaster_leiogaster","LC","No"
"West Central Australian Shelf","Miya_12S","Amblygaster_sirm","LC","Yes"
"West Central Australian Shelf","Miya_12S","Amblyglyphidodon_batunai","VU","No"
"West Central Australian Shelf","Miya_12S","Amblyglyphidodon_curacao","LC","Yes"
"West Central Australian Shelf","Miya_12S","Amblyglyphidodon_leucogaster","LC","Yes"
"West Central Australian Shelf","Miya_12S","Amblygobius_albimaculatus","LC","No"
"West Central Australian Shelf","Miya_12S","Amblygobius_bynoensis","LC","No"
"West Central Australian Shelf","Miya_12S","Amblygobius_decussatus","LC","No"
"West Central Australian Shelf","Miya_12S","Amblygobius_nocturnus","LC","No"
"West Central Australian Shelf","Miya_12S","Amblygobius_phalaena","LC","Yes"
"West Central Australian Shelf","Miya_12S","Amblygobius_sphynx","LC","No"
"West Central Australian Shelf","Miya_12S","Amblygobius_tekomaji","LC","No"
"West Central Australian Shelf","Miya_12S","Amissidens_hainesi","Not evaluated","No"
"West Central Australian Shelf","Miya_12S","Ammotretis_elongatus","DD","No"
"West Central Australian Shelf","Miya_12S","Amniataba_caudavittata","Not evaluated","No"
"West Central Australian Shelf","Miya_12S","Amniataba_percoides","LC","No"
"West Central Australian Shelf","Miya_12S","Amoya_gracilis","Not evaluated","No"
"West Central Australian Shelf","Miya_12S","Amoya_madraspatensis","Not evaluated","No"
"West Central Australian Shelf","Miya_12S","Amoya_signata","Not evaluated","No"
"West Central Australian Shelf","Miya_12S","Amphiprion_clarkii","LC","Yes"
"West Central Australian Shelf","Miya_12S","Amphiprion_frenatus","LC","Yes"
"West Central Australian Shelf","Miya_12S","Amphiprion_ocellaris","LC","Yes"
"West Central Australian Shelf","Miya_12S","Amphiprion_perideraion","LC","Yes"
"West Central Australian Shelf","Miya_12S","Amphiprion_polymnus","LC","Yes"
"West Central Australian Shelf","Miya_12S","Amphiprion_rubrocinctus","LC","No"
"West Central Australian Shelf","Miya_12S","Amphiprion_sandaracinos","LC","Yes"
"West Central Australian Shelf","Miya_12S","Amsichthys_knighti","LC","No"
"West Central Australian Shelf","Miya_12S","Anacanthus_barbatus","LC","No"
"West Central Australian Shelf","Miya_12S","Anampses_caeruleopunctatus","LC","Yes"
"West Central Australian Shelf","Miya_12S","Anampses_geographicus","LC","Yes"
"West Central Australian Shelf","Miya_12S","Anampses_lennardi","LC","No"
"West Central Australian Shelf","Miya_12S","Anampses_meleagrides","LC","Yes"
"West Central Australian Shelf","Miya_12S","Anampses_twistii","LC","No"
"West Central Australian Shelf","Miya_12S","Anarchias_allardicei","LC","No"
"West Central Australian Shelf","Miya_12S","Anarchias_seychellensis","LC","No"
