Parequula melbournensis	21
Centroberyx gerrardi	13
Lutjanus quinquelineatus	99
Girella zebra	5
Diodon nicthemerus	14
Leviprora inops	8
Ranzania laevis	105
Symphorus nematophorus	27
Lutjanus sebae	85
Lutjanus lemniscatus	52
Lethrinus nebulosus	215
Pristipomoides typus	62
Lutjanus erythropterus	182
Thunnus obesus	506
Scomberomorus queenslandicus	21
Gymnosarda unicolor	98
Thunnus albacares	1392
Rastrelliger faughni	108
Carcharhinus plumbeus	281
Lutjanus fulviflamma	293
Galeocerdo cuvier	639
Negaprion acutidens	76
Mordacia sp.	3
Plectropomus leopardus	674
Acanthistius sp.	3
Saurida undosquamis	303
Ostorhinchus rueppellii	6
Choerodon cyanodus	17
Epinephelus fasciatus	244
Hemigymnus melapterus	123
Etelis sp.	12
Hyporhamphus melanochir	213
Kathetostoma nigrofasciatum	3
Lethrinus erythracanthus	27
Heterodontus portusjacksoni	31
Emmelichthyid sp.	1
Platycephalus sp.	261
Randallichthys filamentosus	6
Carcharhinus leucas	664
Lutjanus carponotatus	100
Caranx melampygus	152
Cheilinus undulatus	94
Chrysophrys auratus	54
Epinephelides armatus	1
Hipposcarus longiceps	168
Lethrinus laticaudis	19
Lutjanus argentimaculatus	213
Ostracion cubicum	54
Paracirrhites arcatus	77
Paracirrhites forsteri	253
Paracirrhites hemistictus	19
Parupeneus indicus	126
Plectropomus areolatus	126
Plectropomus maculatus	127
Xiphias gladius	644
Scarus rivulatus	79
Siganus canaliculatus	209
Siganus virgatus	76
Trachinotus baillonii	91
Variola louti	157
Neosebastes thetidis	11
Acanthocybium solandri	186
Cephalopholis aurantia	42
Cephalopholis sonnerati	220
Chlorurus microrhinos	48
Nemipterus furcosus	128
Neopomacentrus sp.	14
Neotrygon leylandi	28
Paramonacanthus choirocephalus	41
Parapercis nebulosa	8
Pempheris klunzingeri	31
Abudefduf sexfasciatus	131
Abudefduf vaigiensis	659
Anampses lennardi	8
Pseudogoniistius nigripes	1
Carangid sp.	1
Ophthalmolepis lineolata	15
Lutjanus vitta	209
Microcanthus strigatus	146
Neosebastes nigropunctatus	8
Neosebastes pandus	16
Parachaetodon ocellatus	22
Parma occidentalis	2
Plectorhinchus vittatus	72
Pomacentrus sp.	87
Psammoperca waigiensis	38
Siganus sp.	5
Thalassoma lunare	200
Aphareus rutilans	63
Aprion virescens	67
