column,n_nonnull,min,mean,sd,q05,median,q95,max
count,1067313,1,1129.68624761434,5193.50311370668,2,87,4736,438193
X.ID,756828,90,98.6308634722817,2.16711213497226,93.08,99.44,100,100
Genus.score,396001,0.01,0.888755558698084,0.206576985303022,0.4,1,1,1
Species.score,396001,0.01,0.777784803573728,0.320362435160707,0.02,0.98,1,1
decimalLongitude,1060704,95.6246,118.614083388451,19.5011875662598,96.822608,113.8474236,154.0317,210.2666667
decimalLatitude,1060704,-44.31475833,-24.4621175450341,9.23215843563182,-34.78083333,-28.75767077,-10.454,-8.006183333
verbatimLongitude,1035989,-29.6649,118.426225387107,20.8128987093636,96.82013333,113.92,154.0314,210.2666667
verbatimLatitude,1035837,-44.31475833,-12.0639864137664,24.4804578523208,-34.80752977,-12.20890457,28.88203333,155.0986
habitat_natural_artificial_0_1,631111,0,0,0,0,0,0,0
samp_size,1016443,0,3.44615589855998,3.5577914576768,1,2,12,12
samp_store_temp,32023,-80,-80,0,-80,-80,-80,-80
filter_passive_active_0_1,649879,0,0.985880448514262,0.117983944548725,1,1,1,1
size_frac,988726,0.45,0.647359278505875,0.869325900052373,0.45,0.45,0.8,8
filter_diameter,852152,47,47,0,47,47,47,47
prepped_samp_store_temp,81118,-80,-80,0,-80,-80,-80,-80
dna_cleanup_0_1,18810,0,0,0,0,0,0,0
minimumDepthInMeters,970701,0.2,286.545115952287,879.726927441723,3,10,2268,6380
maximumDepthInMeters,1057353,0.2,268.173711239293,856.38435429733,3,10,2131,6380
temp,110886,17,20.7338753765128,1.19274951128881,19.605,20.498,22.5,23
wind_speed,553912,0,7.24441346756705,2.76071918052041,2.57222,7.71667,10.2889,27.78
swell_m,569442,0,1.08827290575686,0.824613605106757,0.1,1,3,5
